,Id,Sentence,Flag,labels
35,35,"We need to continue the leadership that has delivered more than two million new jobs, that has proudly brought Australia's unemployment rate to a 33-year low, that has seen wages grow by 21 per cent over and above inflation, that has seen the level of industrial disputes fall to the lowest they've been since 1913.",0,4
36,36,"And I have no hesitation in saying to all of you that I believe our industrial relations reforms have made a mighty contribution to the low unemployment, the low level of strikes and the high real wages that Australians now enjoy.",0,1
37,37,"I will, whenever I'm Prime Minister, I will not inflict upon the small businesses of Australia the unfair dismissal laws that will come back if Mr Rudd is elected Prime Minister.",0,1
38,38,"And my friends, it isn't by accident that housing interest rates in Australia today are still only half the notorious peak of 17 per cent that they reached under the former Labor Government.",0,1
39,39,These achievements have been no fluke.,0,1
40,40,"They've been the result of hard work, a consistent policy commitment and a hard-working talented team.",0,1
41,41,"And I want to pay particular tribute to the magnificent job that Peter Costello has done over the last 11 and a half years, because he's been the principal architect of that economic achievement.",0,1
42,42,"We have a plan to continue prosperity, we have a plan to drive unemployment even lower.",0,1
43,43,"The other side of politics, the Labor Party, has nothing more than a PR script, a script where the people who once opposed tax cuts now support them, the people who once opposed and it was the first thing Mr Rudd voted against when he entered Parliament, a tax break for private health insurance, now supports it, they once opposed the Medicare safety net but now they support it, they once opposed parental choice in education, they now support it, they once opposed Budget surpluses, they now support them.",0,1
44,44,"I think you all get the idea, although Peter Garrett didn't seem to on one occasion.",0,1
45,45,It's a script for a fairly hollow Labor Party led by a man whose core beliefs are obscure and unknown to the Australian public and perhaps to he himself.,0,1
46,46,"I said at the start of this election campaign and I say it again here in Brisbane, love me or loathe me, the Australian people know where I stand and what I believe in.",0,1
47,47,"I believe in the individual, I believe in the family as the cornerstone of our happiness and of our nation, I believe in free enterprise and reward for hard work, I believe in the values of the old Australia as well as sharing the excitement and the adventure of the new Australia, I believe very much in the vital role that small business plays in our economy, the two million small businesses that employ some 3.7 million Australians and that the Labor Party wants to return to the clutches of union power.",0,1
48,48,Queensland is the quintessential small business state of Australia.,0,1
49,49,"Small business makes up 98 per cent of all businesses in Queensland, a Rudd Labor Government on top of a Bligh Labor Government would be lethal for small business here in Queensland.",0,1
50,50,"I believe in an outward-looking ambitious self-confident Australia in the world, I believe in the achievements of the last 11 and a half years, and I want to pay special tribute to the skill and diplomacy and guidance and hard work of Alexander Downer our longest-serving Foreign Minister.",0,1
51,51,"Families are the building blocks of a good society and the policies that we've developed over the last 11 and a half years, the family tax benefits, the baby bonus and many others, have supported families at every stage of life expanding the horizons of their choices.",0,1
52,52,"My opponent talks a great deal about working families, he utters the phrase just about every time he does an interview, but he never seems to talk about what is the source of economic security for working families and that's work.",0,1
53,53,For dad or mum or both in whatever combinations they choose nothing can replace a steady job with rising wages as the basis of family security.,0,3
54,54,Today is a very different Australia than the one we inherited when we came to Government 11 and a half years ago.,0,1
55,55,"We're not only talking about the employment opportunities for middle aged and older Australians, for mum and dad.",0,1
56,56,"One of the great experiences I've personally had in this campaign, and I had it again last Friday in Penrith in Western Sydney, was to talk to scores of young people who've just finished school and are literally bubbling over enthusiasm about getting into the labour market knowing that they can confidently not only get a job but also get the job they want.",0,1
57,57,"What has struck me is this great sense of optimism, this 33-year low in unemployment.",0,1
58,58,I just feel so tremendously proud that I'm privileged to be the Prime Minister of a country that has given them that opportunity.,0,1
59,59,"I think of how people 15 and 20 years ago in that same age cohort left school with hesitancy and pessimism and with little hope about getting a job, let alone the job that they wanted.",0,1
60,60,And I don't think there is anything more important for all of us than to preserve that sense of hope and enthusiasm and optimism amongst our young for years into the future.,0,1
61,61,Today I want to talk about a number of initiatives that are part of the next chapter of our plans to put more power into the hands of individuals and families rather than governments and bureaucracies.,0,1
62,62,"It's a plan that speaks to Australians of all ages, while recognising that each generation faces unique challenges in their own time.",0,1
63,63,It evokes the timeless hopes and dreams that transcend generations of Australians.,0,1
64,64,"They include the desire for a good job, the impulse to raise a family and to give one's children the best possible start in life, the urge to self-improvement, to education and the desire ultimately for a place called home.",0,2
65,65,"The home being an almost sacred part of the Australian Liberal creed stretching back to Menzies' memorable evocation of homes material, homes human and homes spiritual in the forgotten peoples speech of 1942.",0,1
66,66,And what unites our creed of optimism is the belief that the Australian people do not need governments instructing them about virtue.,0,1
67,67,They are more than capable of charting their own course towards a good life for themselves and for their families.,0,1
68,68,"And today I want to announce three new measures that go to the decisions that matter most to families: the care of children in early years, parents' investment in their children's education and the dream of home ownership.",0,1
69,69,"In 2004, we introduced the childcare tax rebate to provide extra financial help for families covering 30 per cent of out of pocket expenses.",0,1
70,70,"Today, families can claim up to $4,354 per child a year for out of pocket expenses.",0,1
71,71,"We have continued to look at how we can ensure the amount of money parents have to pay upfront is reduced and so, a re-elected Coalition Government will pay families childcare tax rebate in advance to the childcare provider ensuring fees are reduced before parents pay.",0,4
72,72,This should cut the upfront cost for families by 30 per cent.,0,1
73,73,"As a result, more than 500,000 families will have their current childcare costs dramatically reduced, and families will see the benefit of reduced fees from the first of April 2008.",0,7
74,74,We will also increase the number of childcare places in areas of greatest need.,0,1
75,75,We will provide capital funding to local governments of up to $1 million to build or extend childcare centres in the areas where there are no vacancies.,0,7
76,76,"Together with our goal of full employment, building a culture of savings and home ownership is a big part of Australia making the transition from a welfare state to an opportunity society.",0,3
77,77,"The Coalition is committed to Australia remaining a great home-owning society, indeed one of the greatest in the world, where the dream of home ownership remains at the heart of the Australian experience and within reach of each successive generation.",0,2
78,78,Today I announce new measures to assist Australians looking to get a foot in the door of their first home.,0,3
79,79,This is a comprehensive plan to make home ownership more affordable for young Australians by boosting their capacity to save for a home.,0,6
80,80,"From 2008-09, a re-elected Coalition government will introduce tax-free home savings accounts for all Australians who have yet to own their first home.",0,6
81,81,"Contributions of up to $1,000 a year will be tax deductible, all interest and earnings from the accounts will completely free of tax.",0,7
82,82,"Under our plan, as it applies to Australians under 18 years of age, parents, grandparents and others will be able to contribute up to $1,000 between them each year to a tax-free home savings account for children.",0,1
83,83,Savings will be accessible to purchase a first home once the account holder turns the age of 18.,0,1
84,84,"For Australians aged 18 and over, a maximum of $10,000 a year can be contributed to a tax-free savings account for adults with only the account-holder eligible to claim a tax deduction of up to $1,000 for their contribution.",0,1
85,85,Child accounts will become adult accounts when the account holder turns 18.,0,7
86,86,"In the case of adult accounts, the account holder will be able to withdraw their account balance to buy their first home at any time after the age of 18.",0,7
87,87,"I can also announce today that a re-elected Coalition Government will, subject to economic conditions and the state of the Budget, look to make contributions from future Budget surpluses to these tax-free home savings accounts.",0,6
88,88,These accounts will help young Australians to develop the habits of saving and managing money and today we are also releasing a policy to build on the fine work of the Financial Literary Foundation chaired by Paul Clitheroe to give all Australians access to accurate independent information on money matters.,0,7
89,89,"Evidence from around the world shows that a culture of saving and home ownership, even among families on modest incomes, is associated with an orientation towards the future: household stability, stable marriages, steady employment, educational attainment, healthy lifestyles and local civic involvement.",0,1
90,90,"This is the essence of the opportunity society I want Australia to become, where people are encouraged to work hard, save and look after their families and contribute to their communities.",0,2
91,91,"In addition, capital gains tax will be removed for Australians who share equity in a family member's first home.",0,1
92,92,This will facilitate the desire of a lot of parents to assist their children in buying their first home through a shared equity arrangement.,0,1
93,93,"To further assist with housing affordability in the near term, I am today announcing a series of new measures that tackle the supply problems of housing affordability.",0,6
94,94,"A re-elected Coalition Government will expedite the disposal of Commonwealth land, totalling 961 hectares in New South Wales, Victoria, Queensland, South Australia and the ACT, following the recent Commonwealth audit of land holdings.",0,2
95,95,A further impediment to more Australians owning their own home is State and local government infrastructure charges that inflate the price of house and land packages.,0,1
96,96,"As a result, home buyers are often paying for infrastructure that benefits the wider community and should therefore be paid for by the wider community.",0,1
97,97,"To tackle this problem, a re-elected Coalition government will commit $500 million over three years to fund on a 50/50 cost share basis with State and local governments common-use community infrastructure associated with new developments and urban consolidation.",0,7
98,98,"This could include community halls, libraries and sporting grounds.",0,7
99,99,"Funding will be on a competitive basis and subject to criteria, such as demonstrated improvements in approval processes.",0,1
100,100,Let me now turn to the crucial area of education.,0,1
101,101,"The Coalition has a distinctive approach to education policy, with a clear focus on choice, high standards and greater national consistency.",0,3
102,102,"Unlike our opponents, we have never had hit-lists of independent schools.",0,1
103,103,"Unlike our opponents, we have always believed in the unconditional right of Australian parents to choose the nature and the quality of the education they want for their children.",0,1
104,104,We are unashamedly the parties of parental school choice.,0,1
105,105,"The blossoming of low-fee independent schools in the last decade, which we have supported, has given many families for the first time real choice over the school to which they send their child.",0,1
106,106,Choice is a vehicle for driving better school performance across the board because it empowers the consumers of education services and that's the students and the parents.,0,3
107,107,Today I announce a policy that will further increase choice and improve education opportunities by helping parents make the investments in their children's future that matter so much.,0,6
108,108,"I know that for many parents this is the most important investment of all but, of course, they face many competing pressures on the family budget and so a re-elected Coalition Government will introduce a new tax rebate for education expenses including, crucially, school fees.",0,6
109,109,"This will apply for every student, beginning with preschool – that's kindergarten in some States – until the end of secondary school.",0,7
110,110,Parents will be refunded up to $400 annually for each child at primary or preschool and they will be refunded up to $800 annually for each secondary school student.,0,7
111,111,This initiative has four key features.,0,1
112,112,"First, it is broad.",0,1
113,113,It will apply to a wide range of education expenses including all school fees and the so-called voluntary contributions and levies that have increasingly crept into government education systems.,0,1
114,114,"It will also cover school text books, uniforms, camps and excursions, as well as extra costs of elective subjects like music and drama.",0,3
115,115,"And, of course, it will cover tools to help our children learn, like laptops and broadband connections.",0,7
116,116,"Unlike Mr Rudd, I do recognise that the costs of education extend well beyond laptops and broadband connections.",0,1
117,117,"Second, this rebate recognises that our children's education begins before school.",0,6
118,118,"The importance of early childhood learning to later life outcomes is well known, which is why we have deliberately structured this initiative to include the costs of children attending government, community and private preschools, or kindergartens in some States, in the year before they commence formal schooling.",0,7
119,119,"Thirdly, this measure recognises the higher costs of educating older students.",0,6
120,120,This will be a refundable tax rebate of 40% for expenses up to a maximum of $2000 per secondary school student and up to a maximum of $1000 per student at primary or preschool.,0,7
121,121,"And finally, let me emphasise that all Australian families will benefit from the full value of this rebate irrespective of their income.",0,1
122,122,"This rebate is very much about practical assistance to help parents make the best possible choices for their children's future, so that Australia's children can have the best possible start in life.",0,3
123,123,"My friends, I commenced my remarks in speaking of how the choice on the 24th of November had very much crystallised around the issue of economic management.",0,1
124,124,"The economy isn't everything in life, we all know that, but a strong economy is central to the capacity of this nation to deliver the things that we all want.",0,5
125,125,"I think back over the last 11 and a half years and I recall how we've been able to rebuild the defence forces of this country and how very proud I felt a few weeks ago to go to Enoggera, not far from here, and announce that the trigger point for the establishment of the second of the new battalions that we're able to raise had been reached.",0,1
126,126,And how recruitment levels into the armed forces had grown despite the fact that we have a near full-employment economy.,0,1
127,127,And I'm very proud to say that one of the greatest achievements of this Government has been to increase by no less than 47% in real terms the amount of money that we spend on defence.,0,1
128,128,And we all know what a wonderful job the men and women of the Australian Defence Force have done for us over the past years and what tremendous service they render in our name and in the name of our nation in many trouble spots around the world.,0,1
129,129,"But whether it's defence, whether it's roads, whether it's education or whether it's health, it's all being made possible because we have built a strong economy.",0,1
130,130,Never forget what we inherited.,0,2
131,131,Never forget the $96 billion of debt.,0,1
132,132,Never forget the 8.2% of unemployment.,0,1
133,133,Never forget that interest rates reached 17% under the former Government.,0,1
134,134,"Never forget that we were told by our opponents that the leaders of Asia would not deal with this country, and yet eleven-and-a-half years later we have achieved what I call this remarkable duality in foreign policy - a close, enduring relationship with our great ally, the United States, but side by side with that we have built a constructive and enduring relationship with the fastest growing nation in the world, China.",0,1
135,135,"The Australian Labor Party wants the Australian people to believe that the Australian economy is on autopilot, that it just happens automatically, it's all due to the resources boom, it's got nothing to do with the quality of the people in charge.",0,1
136,136,They want to sort of slip by unnoticed.,0,1
137,137,They want their past record to be consigned to oblivion.,0,1
138,138,They don't want to be reminded that they opposed all of the reforms that have built the prosperity that we now have.,0,1
139,139,"We have an obligation, we in the Coalition, not to let the Labor Party get away with that deceit.",0,6
140,140,And I want to say to all of my fellow Australians that the choice you face on the 24th of November has become more intense and more urgent because of some of the stormclouds that are gathering on our economy both domestically and internationally.,0,1
141,141,"With the right leadership, the skill that people like Peter Costello have displayed over the last eleven-and-a-half years, we can continue to see it grow.",0,1
142,142,We can reach that great goal of full employment.,0,1
143,143,We can once again walk the shopping malls and the streets of this nation and meet enthusiastic young people bubbling with hope and pride and confidence about their future job prospects.,0,1
144,144,"But if we get it wrong, if we hand it over to inexperienced people, a government dominated by 70% of former trade union officials, if we have a nation for the first time in its history with a Labor Government at every level, coast to coast, wall to wall without lead or hindrance, isn't that a huge risk – isn't that taking too big a risk with the prosperity that we have worked so hard to build?",0,1
145,145,"My fellow Australians, it has been an incredible privilege to be the Prime Minister of the greatest country in the world, but there is much to do in the future.",0,1
146,146,There is much work ahead of us.,0,2
147,147,There are great responsibilities to be discharged.,0,1
148,148,I ask for your support and your votes to continue the great work of the last eleven-and-a-half years on the 24th of November.,0,4
