,Od,Id,Sentence,Flag,labels
24,25,63620_200111_25,Isn't it interesting when we ran for office in 1996 we were accused by the Labor Party of wanting to destroy the social security safety net.,1.0,1
25,26,63620_200111_26,We were accused by the Labor Party of wanting to weaken the financial position of the poor in our community.,1.0,1
26,27,63620_200111_27,The reality is that after five years of Coalition Government the safety net for social security is stronger and better than ever.,1.0,1
27,28,63620_200111_28,"The gap between the rich and the poor has not, contrary to their mantra and their rhetoric, widened and particularly as a result of the reforms under tax reform, low income families' financial position is now vastly better and strengthened compared to what it was when we came to office in March of 1996.",1.0,1
28,29,63620_200111_29,"So it will be the Coalition under Amanda Vanstone's leadership and assisted by Tony Abbott that will blaze the trail of welfare reform over the next three years, of reducing welfare dependency, of giving people an incentive to be in work and not be in welfare.",,6
29,30,63620_200111_30,Of reconnecting mature age workers with the work force.,,1
30,31,63620_200111_31,"In other words giving to Australia a modern, progressive social welfare system, the goal of which is to involve people in the community rather than to leave them wasting on welfare dependency.",,3
31,32,63620_200111_32,"Then there is the area of primary, secondary and tertiary education.",,1
32,33,63620_200111_33,An area talked about so much by our opponents over the last few years.,1.0,1
33,34,63620_200111_34,"An area whose standards have been derided quite wrongly by the Australian Labor Party because the reality is that according to international measures, apart from pre-school, which is the exclusive responsibility of states, the standards in primary and secondary and tertiary institutions in Australia are above the industrial world average.",1.0,1
34,35,63620_200111_35,In our roles in education we have continued to argue for improved standards and benchmarks and measurements.,,1
35,36,63620_200111_36,"Better education is not only more dollars, it's better standards, better philosophies of education, better teaching and better attitudes to the orthodox rigorous of learning.",,1
36,37,63620_200111_37,The great attack of the Labor Party of course has been that we have impoverished and weakened the government schools of this country to the benefit of the so called wealthy independent schools.,1.0,1
37,38,63620_200111_38,"Well let me say as a very proud product of a government high school in Sydney, that this Government has been a faithful and generous supporter of the government education sector in this country.",1.0,1
38,39,63620_200111_39,"Let me remind you that since 1996, the amount of federal money going to government schools in Australia has risen by 43% while the enrolments in government schools around Australia over that same period have risen by only 1.3%.",1.0,1
39,40,63620_200111_40,Now they are hardly the figures of a government or a response of a government that is intent on doing damage to the great public education system of this country.,1.0,1
40,41,63620_200111_41,The truth is 69% of all Australian children go to government schools and those schools receive 78% of total government funding.,1.0,1
41,42,63620_200111_42,"Once again, hardly the proportions of a government that has some kind of philosophical commitment against government schools.",1.0,1
42,43,63620_200111_43,The truth as distinct from the Labor fiction is that we believe in excellence in both government schools and independent schools.,,1
43,44,63620_200111_44,The truth is that we genuinely believe in the absolute freedom of parental choice when it comes to the education of children.,,1
44,45,63620_200111_45,"We believe that it is the right of every parent to decide the education for their children and we believe that governments should support and facilitate, not frustrate and deny the exercise of that freedom of choice.",,1
45,46,63620_200111_46,Let me sound a warning to the parents of children at all independent schools: Labor's hit list of independent schools is merely the thin end of the wedge.,1.0,1
46,47,63620_200111_47,"There will be one group this campaign, there'll be another group in the future if Labor is elected because their union masters, the education union's ultimate goal is to remove all government assistance to all independent schools.",1.0,1
47,48,63620_200111_48,"Meanwhile, as well as having given record funding increases to government schools, we've also been very successful in lifting standards and I want to thank and congratulate David Kemp for the wonderful job that he's done in lifting standards of literacy and numerical within Australian schools.",1.0,1
48,49,63620_200111_49,"In 1995, 27% of children could not properly read, now that figure has fallen to 13%.",1.0,1
49,50,63620_200111_50,That's the kind of education policy Australian parents really want.,,1
50,51,63620_200111_51,That solid practical achievement that's not rhetorical abuse based on the politics of envy.,,1
51,52,63620_200111_52,"In the area of health I've long held the view that despite its undoubted weaknesses and despite the need constantly to add to and improve Australia's health system, it is better than any I have seen or read of anywhere else in the world.",1.0,1
52,53,63620_200111_53,"And over the time that we have been in government we have done two things, we have revived from its death throes private health insurance.",1.0,1
53,54,63620_200111_54,Private health insurance was allowed to bleed to death under Labor because they didn't believe in it.,1.0,1
54,55,63620_200111_55,"And never let it be forgotten that when, after the 1998 election and we put up the bill for the 30 per cent tax rebate, the Labor Party voted against it.",1.0,1
55,56,63620_200111_56,They voted against it and it was only passed through the Senate with the support of Brian Harradine.,1.0,1
56,57,63620_200111_57,"They may now say they are in favor of it but once again don't listen to what they say, remember what they did.",1.0,1
57,58,63620_200111_58,"What we have done with that rebate is to lift to 45 per cent the number of Australians in private health insurance, and that has taken the load off public hospitals, as well as enabling many people to assume responsibility for the health care of themselves and their own families.",1.0,1
58,59,63620_200111_59,We've massively increased the money going to the states under the health care agreements.,1.0,1
59,60,63620_200111_60,"In the current five year period the money going to the states is 28 per cent higher after inflation, that's 28 per cent higher in real terms than what it was in the last year of the Keating health care agreements.",,1
60,61,63620_200111_61,That is hardly the policy or the approach of a government that is trying to starve the public hospitals of Australia of their necessary resources.,,1
61,62,63620_200111_62,In recent years we've added a special $500 million country health program that's going to bring more doctors to rural areas.,,7
62,63,63620_200111_63,"Proudly we have doubled the amount of money going to health and medical research, we've doubled that as a result of the recommendations of the Wills Report.",,1
63,64,63620_200111_64,And can I applaud the work of Michael Wooldridge in the preventative health area.,1.0,1
64,65,63620_200111_65,"If you want a real outcome in health, if you want something that really matters for the future listen to this.",1.0,1
65,66,63620_200111_66,"Our childhood immunizations rates in 1996 were 53 per cent, that was a disgraceful third world standard.",1.0,1
66,67,63620_200111_67,As a result of Michael's policies that figure is now more than 95 per cent.,1.0,1
67,68,63620_200111_68,"And in this campaign we've announced a $306 million program for outer-metropolitan doctors, for more after hours clinics, for new funds for the fight against cancer and arthritis and for palliative care.",,7
68,69,63620_200111_69,And later in the campaign I'll be announcing some policies of benefit to carers within the Australian community.,,1
69,70,63620_200111_70,"I don't think, ladies and gentlemen, Australia has had a better Minister for the Environment then Senator Robert Hill.",1.0,1
70,71,63620_200111_71,He's negotiated a great position for Australia at two very difficult international conferences.,1.0,1
71,72,63620_200111_72,He's presided over the introduction of the Natural Heritage Trust.,1.0,1
72,73,63620_200111_73,And there's going to be a five year extension of that trust which will run through our next term and hopefully the term afterwards.,,4
73,74,63620_200111_74,And that's been the largest and the most successful environmental restoration in Australia's history.,,1
74,75,63620_200111_75,"There are 400,000 volunteers involved in it and on top of that for the first time because of federal leadership we have an agreement between the states and the Commonwealth to do something about the problem of water quality and salinity.",,5
75,76,63620_200111_76,I mean it is a disgraceful thought that if we don't do something about this the drinking water for the people of Adelaide in 20 years time will be unfit for consumption in three out of five days of the week.,,1
76,77,63620_200111_77,Australians want a global agreement on greenhouse gas emissions.,,3
77,78,63620_200111_78,But we're not going to ratify the Kyoto Agreement until the full cost to Australia of that ratification is known.,,5
78,79,63620_200111_79,Unlike Mr. Beazley we're not going to sign away Australia's freedom of action until we know the full cost to Australian industry and Australian jobs of that particular action.,,6
79,80,63620_200111_80,Everyone in this area who thinks about it knows that the only way you can have an effective international arrangement on greenhouse gas emissions is to include the United States of America and also the developing countries.,,5
80,81,63620_200111_81,So ladies and gentlemen they are some of the many policies for the future which have been announced by the Government during the last 12 months.,,1
81,82,63620_200111_82,But I now want to turn to a number of areas which are also very important to Australia's future and particularly important to Australia's families in different aspects of their lives.,,5
82,83,63620_200111_83,"Strong, stable, united, loving families is still the most prized asset that this nation has.",1.0,1
83,84,63620_200111_84,"Without them we have no real soul, without them we have no real hope as a community for the future.",1.0,1
84,85,63620_200111_85,And every arm of government policy should be directed towards assisting and strengthening Australian families.,,5
85,86,63620_200111_86,That is why low interest rates are so important.,,1
86,87,63620_200111_87,"Just remember a few years ago when you were paying 17 or 18 per cent, if you were lucky to get a loan, in order to buy a home.",1.0,1
87,88,63620_200111_88,And in that one area alone the average homebuyer is paying $350 a month less as a result of the policies of this government and as a result of the fall in interest rates.,1.0,1
88,89,63620_200111_89,"Our health policies are of great benefit to families, and of course families receive very major benefits as a result of taxation reform.",1.0,1
89,90,63620_200111_90,"And it's clearly demonstrated in recent independent research the great bulk of those additional benefits went to low and middle income families, they didn't go to the big end of town, they didn't go to the well-off, they went to the great family mainstream of the Australian community who were genuinely in need of that assistance.",1.0,1
90,91,63620_200111_91,So assistance for families has always been a hallmark of this government and it's been amongst our highest priorities since our election.,1.0,1
91,92,63620_200111_92,"We gave $2 billion to the family tax initiative in 1997, and quite apart from the tax cuts another $2 billion of family benefits in last year's new tax system.",1.0,1
92,93,63620_200111_93,And today I'm committing a future Coalition Government to further improvements in the tax system so far as it relates to families.,,6
93,94,63620_200111_94,I have outlined during the year some of the government's priorities in a broad sense for its third term.,,1
94,95,63620_200111_95,One of these is the ongoing challenge of the balance in our lives between work and family.,,5
95,96,63620_200111_96,"I guess of all the many discussions around the community and neighborhood barbecues, that particular balancing act for so many families with young children probably comes up more frequently then any.",1.0,1
96,97,63620_200111_97,One of the things therefore that we have thought of in formulating our policies is precisely that.,,1
97,98,63620_200111_98,"And we know that one of the hardest times for families comes on the birth of their first child, when typically the family, a couple, loses one of its two incomes for a period of time during which the mother or father gives up or reduces paid employment to care for the child.",1.0,1
98,99,63620_200111_99,"This means for example that a mother who might have been earning $30,000 when her first baby was born and then leaves the workforce for the first four years of the child's life would pay over $5,000 in tax while someone receiving the same $30,000 earned evenly over the same five year period would pay no tax at all.",1.0,1
99,100,63620_200111_100,This issue of fluctuating incomes has been dealt with in the taxation system in our provisions to allow farmers and artists for example to average their income to smooth out these peaks of taxation liability.,1.0,1
100,101,63620_200111_101,The Coalition therefore believes that it is fair to have similar provisions to cover fluctuations that occur on the start of a family when the first child is born and in addition of course assistance with family formation is very much in Australia's long term interests.,,3
101,102,63620_200111_102,Therefore if elected the Coalition will introduce the First Child Tax Refund.,,6
102,103,63620_200111_103,"This proposal will repay to parents who act as a prime carer after the birth of the first of their babies, born after the first of July 2001, the tax they paid on their personal exertion income in the year or the year prior to the birth of the child.",,4
103,104,63620_200111_104,"It will be repaid in full over five years if the parent stays out of the paid workforce, or in part if they return to work at a reduced income.",,6
104,105,63620_200111_105,"This means that the refund is available for the first child born to a couple after the first of July 2001, whether or not they have other children.",,6
105,106,63620_200111_106,The tax refund will be paid after the end of each year as part of the parents' assessment.,,6
106,107,63620_200111_107,"It will be capped at $2,500 a year, if the baby is born during the year of assessment the benefit will be paid pro-rata based on the baby's date of birth, but the benefit is payable for the full five year period.",,7
107,108,63620_200111_108,The Coalition is aware that some families do not have the challenge of losing a substantial part of their income when perhaps the mother or father was not in paid work prior to the birth.,,1
108,109,63620_200111_109,But they still face increased expenditure on the birth of their first child.,1.0,1
109,110,63620_200111_110,"We will therefore under this plan guarantee a minimum payment of $500 for each full year for a parent who earns less than $25,000 in the relevant assessment year.",,7
110,111,63620_200111_111,"The proposal will benefit about 240,000 families in the first year and as payments continue for five years after the baby is born the families covered by this proposal will peak at about 905,000 at the end of the five year period.",,7
111,112,63620_200111_112,The Coalition also wishes to use the First Child Tax Refund to promote a wider spread of national savings and we will be releasing further proposals in our savings policy later in the campaign.,,6
112,113,63620_200111_113,Can I say ladies and gentlemen that when we looked at our position and our capacity in relation to taxation it was very clear that with the prospective budget position across the board income tax reductions would not have been plausible over the next few years.,,1
113,114,63620_200111_114,"We have therefore decided to target that income tax relief at the very point in the experience of a couple's lifecycle, that is the birth of the first child when the maximum economic pressure is being experienced, and I believe that this measure, quite new, quite different, quite innovative, this measure will go a long way towards providing significant financial relief for young couples in middle Australia wanting to start having a family.",,6
114,115,63620_200111_115,Thank you.,1.0,1
115,116,63620_200111_116,Can I now turn to an issue that is important to all of us and it has been something that has always helped to define what kind of society we are and that is the care of the elderly within our community.,,1
116,117,63620_200111_117,"Once again, it's something we have heard a lot about from the Labor Party over the last few years.",1.0,1
117,118,63620_200111_118,But as I think I will demonstrate in a few moments the package that I am announcing in this election campaign goes a lot further than anything that has been proposed by the Australian Labor Party.,,1
118,119,63620_200111_119,And let us first of all remind ourselves that when we came to office Labor had run down aged care homes by cutting capital funding by seventy-five per cent in the last four years to only $10 million a year.,1.0,1
119,120,63620_200111_120,The Coalition in the time it's been in government has increased spending in the sector by 68% and our other reforms are working.,1.0,1
120,121,63620_200111_121,Building and care standards have improved and a capital stream of some $8.5 billion has been generated over the ten years to 2008.,,1
121,122,63620_200111_122,"In this campaign we are announcing a $416 million package of additional funding to provide more places, more capital funds and better care.",,7
122,123,63620_200111_123,"As announced by the Deputy Prime Minister last week, the Coalition will provide $100 million over four years in additional capital funding for aged care homes in rural, remote and urban fringe areas of Australia.",,7
123,124,63620_200111_124,"In addition, the Coalition will provide $200 million over four years to assist providers to meet the nursing and other staff costs of our higher standards.",,7
124,125,63620_200111_125,We will also hold a review of the price and costing arrangements underpinning residential care substance.,,6
125,126,63620_200111_126,"Under the Coalition's policies, the total number of available aged care places will grow from about 168,000 today to almost 200,000 by June 2006.",,7
126,127,63620_200111_127,"That's an increase of 30,000.",,1
127,128,63620_200111_128,"21,000 of them are residential places and 9,000 are the very popular and sought after community care packages.",,1
128,129,63620_200111_129,"And on that score can I remind you that when we came to office there were only 4,000 community care packages.",,1
129,130,63620_200111_130,They are the packages where the services are taken in the home so that the elderly person can stay in his or her home environment much longer.,,5
130,131,63620_200111_131,"And we have dramatically increased that so that under our policies you will have a total of about 34,000.",,7
131,132,63620_200111_132,"In contrast to this, in contrast to this the Labor Party offers capital loans.",1.0,1
132,133,63620_200111_133,They say they are not grants.,1.0,1
133,134,63620_200111_134,"Lower support for operating costs than our $200 million commitment and in reality a phantom 12,000 additional beds because there has been no provision made in their costing for ongoing funding.",,7
134,135,63620_200111_135,"In addition, recognizing the critical need to attract more nurses into this sector and into other sectors, the Coalition will provide $28 million over four years to encourage more people to enter or re-enter aged care nursing, especially in rural and regional areas.",,7
135,136,63620_200111_136,"This initiative will offer 250 scholarships worth up to $10,000 a year for students undertaking appropriate courses at rural and regional university campuses.",,7
136,137,63620_200111_137,"Our new accreditation standards require continuous improvement in care standards and the Coalition will provide $20 million over four years to fund the training of up to 10,000 care staff in small aged care homes to help them meet these standards.",,7
137,138,63620_200111_138,"Ladies and gentlemen, that $416 million package by its size, its scope and its emphasis on the areas of real need in the aged care sector goes infinitely further than has the Labor Party in dealing with the challenges of this most important part of our social welfare responsibility.",,7
138,139,63620_200111_139,One of the many things that I have been very proud to have been associated with as Prime Minister and in which I have taken a relentless personal interest is the ongoing campaign against the scourge of drugs within the Australian community.,,5
139,140,63620_200111_140,Our Tough on Drugs program which has already led to the Commonwealth Government committing a record $516 million is the largest single initiative ever undertaken in this country to fight the drug program.,,1
140,141,63620_200111_141,It fights it on three fronts.,,1
141,142,63620_200111_142,On education and law enforcement and rehabilitation.,,1
142,143,63620_200111_143,And there is solid evidence despite the negative doomsayers who want to run up the white flag and throw up in surrender and give up the fight.,,2
143,144,63620_200111_144,"Over 5,800 kilograms of illicit drugs with a street value of over $2 billion has been seized.",1.0,1
144,145,63620_200111_145,"There has been a dramatic and pleasing reduction in the number of deaths from heroin overdoses and can I take the opportunity of thanking both Amanda Vanstone and Chris Ellison, my two parliamentary colleagues and also let me thank the magnificent men and women of the Australian Federal Police, the Australian Customs Service and the State police services for the work, the dangerous work but the crucial work that they have been doing on our behalf in this very important area.",1.0,1
145,146,63620_200111_146,"Under Tough on Drugs we have already allocated $98 million over four years to the Australian Federal Police and $70 million for the Customs Service, $60 million to 133 community based treatment programs to rural and regional Australia, $27 million under the National School Drug Education strategy and $110 million to provide, with the states a national system of diverting drug users into compulsory expert assessment and onto education and treatment as an alternative to being caught up in the criminal justice system.",,7
146,147,63620_200111_147,Today I am announcing a $109 million package to expand the Tough on Drugs strategy further with particular emphasis on more funds for community treatment and prevention.,,7
147,148,63620_200111_148,We will invest a further $60 million over four years in the non-government organizations treatment grants program.,,7
148,149,63620_200111_149,In allocating funds from this new commitment we will continue to take advice from Major Watters of the Salvation Army and the Australian National Council on Drugs.,,2
149,150,63620_200111_150,We will provide another $14 million to the community partnerships and in an important new initiative we will also spend $28 million over four years to develop and introduce retractable needle and syringe technology into Australia.,,7
150,151,63620_200111_151,Evidence suggests that this will reduce the risk of needle stick injuries that can transmit blood borne viruses.,,1
151,152,63620_200111_152,"Australian industry will also benefit from the research and development that this initiative will generate and I daresay many parents of young children whose great fear when their children are out playing in the park or on the beach are needles, will welcome this initiative very warmly.",,3
152,153,63620_200111_153,We will also provide another $4.7 million to expand the National Heroin Signature program to track the origins of cocaine and amphetamines.,,7
153,154,63620_200111_154,"And we will provide an additional million dollars to the Croc Festivals which do such wonderful work in building self-esteem, confidence and shared enterprise and those festivals of course support indigenous communities.",,7
154,155,63620_200111_155,"And finally, unlike the Labor Party we will oppose and give no aid and comfort of any kind to either heroin trials or heroin injecting rooms.",,5
155,156,63620_200111_156,"I think it is fair to say ladies and gentlemen, that despite the efforts of so many thousands of men and women in the police services of the Australian states, law and order, the increasing vulnerability that people feel in relation to possible personal injury or theft of property and the sense that Australia is not quite as safe as it was to live in a generation ago, although it is still infinitely better and safer than any other country in the world, I think that is a prevalent view within the Australian community.",,1
156,157,63620_200111_157,"The simple answer for a federal government of course is to say, well that's just a matter for the states.",,1
157,158,63620_200111_158,And can I acknowledge that the constitution does give the power of day to day policing to the states.,,3
158,159,63620_200111_159,Commonwealth law enforcement and security activities are really at a national and international level.,,5
159,160,63620_200111_160,"But it's got to be borne in mind that international crime and terrorist groups have no regard to state or national borders, yet their activities now and can in the future affect all Australians and our law enforcement agencies must be able to act quickly and powerfully when responding to organized crime and terrorism.",,5
160,161,63620_200111_161,"Under the Coalition the Australian Federal Police has had its role massively enhanced, it's been given for the first time in its history the resources to do the job of a true national police force.",,5
161,162,63620_200111_162,And later in the campaign we'll be announcing further measures to significantly strengthen the capacity of the Australian Federal Police.,,5
162,163,63620_200111_163,"But can I say whilst acknowledging the cooperation that does exist between federal and state agencies, I believe that the current environment calls for far greater coordination and a much clearer definition of the role of the Commonwealth in the area of day to day law enforcement.",,6
163,164,63620_200111_164,And also I am not satisfied as prime minister that our cooperative arrangements and institutions work as effectively for the national interests as they might.,,5
164,165,63620_200111_165,"Therefore if I am re-elected I intend to call a special summit of state and territory leaders to develop a new national framework to focus on international crime and terrorism, the reformation or replacement if necessary of the National Crime Authority, and also importantly a reference of constitutional power to the Commonwealth over these areas of law enforcement.",,5
165,166,63620_200111_166,Some further details of that initiative will be released during the campaign.,,3
166,167,63620_200111_167,So ladies and gentlemen they are some of the new plans we have for Australia's future.,,5
167,168,63620_200111_168,They build on the other things that were announced over the past 12 months that will take effect over the next few years.,,5
168,169,63620_200111_169,But I now want to bring my remarks very much to the context of this election campaign.,1.0,1
169,170,63620_200111_170,"I said in Perth during the week that this campaign and all the individual things that are being said in it, are being fought against the background of two overriding issues.",1.0,1
170,171,63620_200111_171,They are the issue of national security and the issue of economic management.,1.0,1
171,172,63620_200111_172,We are as you all know in a new and dangerous part of the world's history.,1.0,1
172,173,63620_200111_173,"The tragic events of the 11th of September have changed our lives, they have caused us to take pause and think about the values we hold in common with the American people and free people around the world.",1.0,1
173,174,63620_200111_174,That was an attack on Australia as much as it was an attack on the United States.,1.0,1
174,175,63620_200111_175,It not only claimed the lives of Australians but it assaulted the very values that we hold dear and that we take for granted.,1.0,1
175,176,63620_200111_176,So therefore a military response and wise diplomacy and a steady hand on the helm are needed to guide Australia through those very difficult circumstances.,,5
176,177,63620_200111_177,National security is therefore about a proper response to terrorism.,,3
177,178,63620_200111_178,"It's also about having a far sighted, strong, well thought out defense policy.",,2
178,179,63620_200111_179,It is also about having an uncompromising view about the fundamental right of this country to protect its borders.,,2
179,180,63620_200111_180,"It's about this nation saying to the world we are a generous open hearted people taking more refugees on a per capita basis than any nation except Canada, we have a proud record of welcoming people from 140 different nations.",,5
180,181,63620_200111_181,But we will decide who comes to this country and the circumstances in which they come.,,2
181,182,63620_200111_182,And can I say on this point what a fantastic job Philip Ruddock has done for Australia.,1.0,1
182,183,63620_200111_183,What a contrast with the Labor Party.,1.0,1
183,184,63620_200111_184,"The morning, well the day I made the announcement that we had to board the motor vessel Tampa I was told by the Leader of the Opposition that the last thing I wanted or Australia needed was a negative carping opposition.",,5
184,185,63620_200111_185,But in four and a half hours he was accusing me of engaging in wedge politics and fanning Hansonism.,1.0,1
185,186,63620_200111_186,"He voted against the Border Protection Bill, he ultimately voted for it although it covered a wider area and while the debate was going on in the Senate many of his colleagues were darkly muttering if we win the election we'll change it.",,5
186,187,63620_200111_187,"We have had a single irrevocable view on this, and that is that we will defend our borders and we'll decide who comes to this country.",,3
187,188,63620_200111_188,But we'll do that within the framework of the decency for which Australians have always been renowned.,,3
188,189,63620_200111_189,"I want to place on record my gratitude as I did when I spoke to some of them in Western Australia earlier this week, my gratitude to the men and women of the Royal Australian Navy who have not only been protecting our borders but saving lives in the process of doing it.",,5
189,190,63620_200111_190,Now that's the face of Australia to the world.,,3
190,191,63620_200111_191,"We will be compassionate, we will save lives, we will care for people but we will decide and nobody else who comes to this country.",,2
191,192,63620_200111_192,And then there is the issue of economic management.,,1
192,193,63620_200111_193,"You can promise, you can express a hope, you can speculate, you can plan, you can do anything you like in any area be it health, education, roads, anything you like, but unless you have a strong growing economy you do not have the capacity to deliver.",,5
193,194,63620_200111_194,The foundation of the delivery of all of our aspirations in these important social welfare and human services area is a strong and growing economy.,,3
194,195,63620_200111_195,If you don't start with that you can't even get to the top of the hill in restoring and adding to human dignity.,,3
195,196,63620_200111_196,Unless you have as your launching pad a strong growing economy you can never realize these wonderful dreams.,,5
196,197,63620_200111_197,In that area I can look back over five and a half years and say what a difference the Coalition has made during that five and a half year period.,1.0,1
197,198,63620_200111_198,And particularly what a difference it's made having Peter Costello as Treasurer of Australia.,1.0,1
198,199,63620_200111_199,"It's not an easy job, I know, I once had it.",1.0,1
199,200,63620_200111_200,But it's such a responsible job and I can't think of anybody in the time that I've been in public life who's done it better than Peter has done and I congratulate him for it very warmly.,1.0,1
200,201,63620_200111_201,"But Peter and John Fahey, whose role as Finance Minister I warmly acknowledge as well, can I say both of you, working with your colleagues, have delivered to this country a level and a breadth of economic strength that give me hope in these challenging times ahead.",,5
201,202,63620_200111_202,Just think where we would now be if we had not repaid $58 billion of the $96 billion of government debt that we inherited.,1.0,1
202,203,63620_200111_203,"Think where we might be now if we were still struggling with 17% interest rates, if we were still struggling with 8%, or 9% or 10% unemployment, think where we would now be if we had not reformed Australia's taxation system.",1.0,1
203,204,63620_200111_204,And when you think of that think of the way the Labor Party behaved towards our efforts to reform the Australian economy.,1.0,1
204,205,63620_200111_205,"I have never forgotten that when I was in Opposition, I never forget that - no intention of going back to it either!",1.0,1
205,206,63620_200111_206,But the Labor Party put up some good ideas and they did occasionally in relation to economic change.,1.0,1
206,207,63620_200111_207,We supported it.,1.0,1
207,208,63620_200111_208,We supported foreign banks being let into Australia;,1.0,1
208,209,63620_200111_209,we supported tariff reform;,1.0,1
209,210,63620_200111_210,"we supported, after Beazley said he wasn't going to do it and then decided he wanted to do it, sounds like something else, the privatization of the Commonwealth Bank.",1.0,1
210,211,63620_200111_211,In other words we behaved in a consistent fashion.,1.0,1
211,212,63620_200111_212,By contrast at every turn the Labor Party not only refused to accept responsibility for the damage it had done but it endeavored to frustrate and to stop our economic reform.,1.0,1
212,213,63620_200111_213,"And they not only left us with a $96 billion government debt, they tried to stop us paying it back.",1.0,1
213,214,63620_200111_214,Now that is a double political and economic crime.,1.0,1
214,215,63620_200111_215,But I'll always be proud of the fact that this Government had the courage to tackle the two great areas of reform that were needed when we came into government.,1.0,1
215,216,63620_200111_216,This country needed workplace relations reform.,1.0,1
216,217,63620_200111_217,"And can I say to you my friends that if we were to lose this election I'd grieve over a lot of things but the one thing I would grieve over most would be what would happen to the industrial relations reform because as surely as night will follow day if Labor wins federally you will have coast to coast Labor government, there will be an enormous return of union domination of the political affairs of Australia.",1.0,1
217,218,63620_200111_218,All of our workplace relations reforms will go by the board;,1.0,1
218,219,63620_200111_219,the secondary boycott protections will be ripped out of the Trade Practices Act;,1.0,1
219,220,63620_200111_220,no ticket no start on building sites will come all around Australia and not just in Western Australia;,1.0,1
220,221,63620_200111_221,Australian workplace agreements will be abolished;,1.0,1
221,222,63620_200111_222,union bosses will be allowed to barge into small businesses whether or not they're welcome or any of the members of the workforce belong to them.,1.0,1
222,223,63620_200111_223,"In other words ladies and gentlemen, the workplace relations reforms of the last five and a half years that have delivered such massive gains in productivity such that I can say as a Liberal Prime Minister of Australia in the last five and a half years real incomes for Australian workers have risen by 9%, yet in the 13 years of Labor they rose by only 2.3%.",1.0,1
223,224,63620_200111_224,We had the guts to do that and may I record my great admiration to Peter Reith for the immense courage that he displayed in April and May of 1998 in that historic fight to reform the Australian waterfront.,1.0,1
224,225,63620_200111_225,They said it could not be done but it was.,1.0,1
