,oid,Id,sentence,Flag,Context,labels
41,41,63620_199003_41,(2) To build a more productive and competitive economy in which hard work pays and success is rewarded; to ensure that economic policy raises rather than depresses living standards.,,"A prosperous and secure future can be built Australia can compete - but only if our economy is restructured to meet the competitive pressures we now face. Our priorities in government will be :  (1) To strengthen the Australian family as the center of society and as the focus of government policy, and to recognize the additional costs of raising children.",1
42,42,63620_199003_42,(3) To create a more flexible labor market on a shared purpose between employees and employers.,,"Our priorities in government will be :  (1) To strengthen the Australian family as the center of society and as the focus of government policy, and to recognize the additional costs of raising children. (2) To build a more productive and competitive economy in which hard work pays and success is rewarded; to ensure that economic policy raises rather than depresses living standards.",1
43,43,63620_199003_43,"(4) To establish a framework of smaller, more efficient government.",,(2) To build a more productive and competitive economy in which hard work pays and success is rewarded; to ensure that economic policy raises rather than depresses living standards. (3) To create a more flexible labor market on a shared purpose between employees and employers.,6
44,44,63620_199003_44,"(5) To provide a sound foreign and defense policy, and to work with our allies to foster the principles of freedom and security.",,"(3) To create a more flexible labor market on a shared purpose between employees and employers. (4) To establish a framework of smaller, more efficient government.",6
45,45,63620_199003_45,"By concentrating on these priorities, by the end of our first term:  - Tax rate will be cut.",,"(4) To establish a framework of smaller, more efficient government. (5) To provide a sound foreign and defense policy, and to work with our allies to foster the principles of freedom and security.",3
46,46,63620_199003_46,#NAME?,,"(5) To provide a sound foreign and defense policy, and to work with our allies to foster the principles of freedom and security. By concentrating on these priorities, by the end of our first term:  - Tax rate will be cut.",1
47,47,63620_199003_47,#NAME?,,"By concentrating on these priorities, by the end of our first term:  - Tax rate will be cut. - Interest rates will be lower.",1
48,48,63620_199003_48,#NAME?,,#NAME?,1
49,49,63620_199003_49,#NAME?,,#NAME?,1
50,50,63620_199003_50,#NAME?,,#NAME?,1
51,51,63620_199003_51,STRENGTHENING THE FAMILY.,1.0,#NAME?,1
52,52,63620_199003_52,The harsh reality of the Labor years has been falling living standards.,1.0,#NAME?,1
53,53,63620_199003_53,"High home interest rates, high taxes, and high inflation have meant crushing and unrelenting pressure on the living standards of Australian families.",1.0,STRENGTHENING THE FAMILY. The harsh reality of the Labor years has been falling living standards.,1
54,54,63620_199003_54,"In the past few years, Government policies have undermined the security of Australian families.",1.0,"The harsh reality of the Labor years has been falling living standards. High home interest rates, high taxes, and high inflation have meant crushing and unrelenting pressure on the living standards of Australian families.",1
55,55,63620_199003_55,Parent's have found it harder and harder to raise their children.,1.0,"High home interest rates, high taxes, and high inflation have meant crushing and unrelenting pressure on the living standards of Australian families. In the past few years, Government policies have undermined the security of Australian families.",1
56,56,63620_199003_56,This has not been the result of adverse world circumstances or national misfortune.,1.0,"In the past few years, Government policies have undermined the security of Australian families. Parent's have found it harder and harder to raise their children.",1
57,57,63620_199003_57,It has been the direct result of the Hawke Government's policies.,1.0,Parent's have found it harder and harder to raise their children. This has not been the result of adverse world circumstances or national misfortune.,1
58,58,63620_199003_58,FAMILY TAX PACKAGE.,1.0,This has not been the result of adverse world circumstances or national misfortune. It has been the direct result of the Hawke Government's policies.,1
59,59,63620_199003_59,We are committed to reducing the pressure on families.,,It has been the direct result of the Hawke Government's policies. FAMILY TAX PACKAGE.,3
60,60,63620_199003_60,"Our Family Action Plan is aimed at reducing the burden of taxation, particularly on families with dependent children.",,FAMILY TAX PACKAGE. We are committed to reducing the pressure on families.,1
61,61,63620_199003_61,Our initiatives will put $2000 million back into the pockets of Australian families through reductions in tax.,,"We are committed to reducing the pressure on families. Our Family Action Plan is aimed at reducing the burden of taxation, particularly on families with dependent children.",7
62,62,63620_199003_62,"To assist parents in the raising of their children, we will introduce:  - A new program of child tax rebates.",,"Our Family Action Plan is aimed at reducing the burden of taxation, particularly on families with dependent children. Our initiatives will put $2000 million back into the pockets of Australian families through reductions in tax.",1
63,63,63620_199003_63,#NAME?,,"Our initiatives will put $2000 million back into the pockets of Australian families through reductions in tax. To assist parents in the raising of their children, we will introduce:  - A new program of child tax rebates.",1
64,64,63620_199003_64,#NAME?,,"To assist parents in the raising of their children, we will introduce:  - A new program of child tax rebates. - Changes to the dependant spouse rebate.",1
65,65,63620_199003_65,These new benefits are over and above the Family Allowances and Family Allowance Supplements currently provided.,,#NAME?,1
66,66,63620_199003_66,"They have been fully costed and with our other promises will be fully funded by the $2700 million cuts in Government Expenditure set out in our Economic Action Plan and supplementary Election Expenditure Statement in areas such as cutting back on unemployment benefits, rationalization of Aboriginal affairs programs and overseas aid, and contracting out of government services.",,#NAME?,1
67,67,63620_199003_67,"As a result of our changes, a typical family with three children could get a 20 per cent tax cut.",,"These new benefits are over and above the Family Allowances and Family Allowance Supplements currently provided. They have been fully costed and with our other promises will be fully funded by the $2700 million cuts in Government Expenditure set out in our Economic Action Plan and supplementary Election Expenditure Statement in areas such as cutting back on unemployment benefits, rationalization of Aboriginal affairs programs and overseas aid, and contracting out of government services.",5
68,68,63620_199003_68,For example :  •All families with two young children and a wife earning $5000 per annum will get a tax cut of $1063 per year or $20.38 per week under the Coalition's Family Action Plan.,,"They have been fully costed and with our other promises will be fully funded by the $2700 million cuts in Government Expenditure set out in our Economic Action Plan and supplementary Election Expenditure Statement in areas such as cutting back on unemployment benefits, rationalization of Aboriginal affairs programs and overseas aid, and contracting out of government services. As a result of our changes, a typical family with three children could get a 20 per cent tax cut.",7
69,69,63620_199003_69,This includes a tax rebate for children and an increase in the eligibility for the dependant spouse tax rebate.,,"As a result of our changes, a typical family with three children could get a 20 per cent tax cut. For example :  •All families with two young children and a wife earning $5000 per annum will get a tax cut of $1063 per year or $20.38 per week under the Coalition's Family Action Plan.",1
70,70,63620_199003_70,"•For a husband earning $26,000 per year, this amounts to a tax cut of over 20 per cent.",,For example :  •All families with two young children and a wife earning $5000 per annum will get a tax cut of $1063 per year or $20.38 per week under the Coalition's Family Action Plan. This includes a tax rebate for children and an increase in the eligibility for the dependant spouse tax rebate.,7
71,71,63620_199003_71,"•Moreover, all families with three young children (the youngest being less than 5 years) who place their children in child care because both the husband and wife work, will be eligible for a tax cut of up to $49.27 per week under the Coalition's Family Action Plan.",,"This includes a tax rebate for children and an increase in the eligibility for the dependant spouse tax rebate. •For a husband earning $26,000 per year, this amounts to a tax cut of over 20 per cent.",1
72,72,63620_199003_72,This includes a Tax rebate for children plus a tax rebate for child care expenses.,,"•For a husband earning $26,000 per year, this amounts to a tax cut of over 20 per cent. •Moreover, all families with three young children (the youngest being less than 5 years) who place their children in child care because both the husband and wife work, will be eligible for a tax cut of up to $49.27 per week under the Coalition's Family Action Plan.",1
73,73,63620_199003_73,Child Tax Rebates.,1.0,"•Moreover, all families with three young children (the youngest being less than 5 years) who place their children in child care because both the husband and wife work, will be eligible for a tax cut of up to $49.27 per week under the Coalition's Family Action Plan. This includes a Tax rebate for children plus a tax rebate for child care expenses.",1
74,74,63620_199003_74,We recognize the additional cost involved in raising children.,1.0,This includes a Tax rebate for children plus a tax rebate for child care expenses. Child Tax Rebates.,1
75,75,63620_199003_75,We will give families a better deal.,,Child Tax Rebates. We recognize the additional cost involved in raising children.,1
76,76,63620_199003_76,Tax rebates for children will be available for deduction against the tax liability of a sole parent or the combined liability of both parents in two-income families.,,We recognize the additional cost involved in raising children. We will give families a better deal.,1
77,77,63620_199003_77,The amount of the child tax rebate varies according to the number of children in each family and the age of the child.,,We will give families a better deal. Tax rebates for children will be available for deduction against the tax liability of a sole parent or the combined liability of both parents in two-income families.,3
78,78,63620_199003_78,"For the first child, the rebate will be $250 a year if the child is under thirteen; and $350 a year if the first child is between thirteen and fifteen.",,Tax rebates for children will be available for deduction against the tax liability of a sole parent or the combined liability of both parents in two-income families. The amount of the child tax rebate varies according to the number of children in each family and the age of the child.,7
79,79,63620_199003_79,"For the second and each subsequent child, the rebate will be $200 a year for children under thirteen and $300 a year for children between thirteen and fifteen.",,"The amount of the child tax rebate varies according to the number of children in each family and the age of the child. For the first child, the rebate will be $250 a year if the child is under thirteen; and $350 a year if the first child is between thirteen and fifteen.",1
80,80,63620_199003_80,Dependant Spouse Rebate.,1.0,"For the first child, the rebate will be $250 a year if the child is under thirteen; and $350 a year if the first child is between thirteen and fifteen. For the second and each subsequent child, the rebate will be $200 a year for children under thirteen and $300 a year for children between thirteen and fifteen.",1
81,81,63620_199003_81,We will reform the dependant spouse rebate to raise the eligibility threshold and ease the withdrawal rate.,,"For the second and each subsequent child, the rebate will be $200 a year for children under thirteen and $300 a year for children between thirteen and fifteen. Dependant Spouse Rebate.",1
82,82,63620_199003_82,"At present, where the dependant spouse earns separate income the maximum rebate is reduced by $1 for every $4 earned (that is, a withdrawal rate of 1 in 4) over a threshold of $282.",1.0,Dependant Spouse Rebate. We will reform the dependant spouse rebate to raise the eligibility threshold and ease the withdrawal rate.,1
83,83,63620_199003_83,"Our policy raises the threshold to $1000, so that the spouse can earn considerably more without any reduction in the rebate.",,"We will reform the dependant spouse rebate to raise the eligibility threshold and ease the withdrawal rate. At present, where the dependant spouse earns separate income the maximum rebate is reduced by $1 for every $4 earned (that is, a withdrawal rate of 1 in 4) over a threshold of $282.",7
84,84,63620_199003_84,"Further, the rebate will be reduced by $1 for every $6 earned by which the dependant spouse's income exceeds $1000 (that is, there will be a reduction in the withdrawal rate to 1 in 6).",,"At present, where the dependant spouse earns separate income the maximum rebate is reduced by $1 for every $4 earned (that is, a withdrawal rate of 1 in 4) over a threshold of $282. Our policy raises the threshold to $1000, so that the spouse can earn considerably more without any reduction in the rebate.",7
85,85,63620_199003_85,Child Care Tax Rebate.,1.0,"Our policy raises the threshold to $1000, so that the spouse can earn considerably more without any reduction in the rebate. Further, the rebate will be reduced by $1 for every $6 earned by which the dependant spouse's income exceeds $1000 (that is, there will be a reduction in the withdrawal rate to 1 in 6).",1
86,86,63620_199003_86,Labor's mismanagement has meant that in many Australian households both parents are required to work to minimize the decline in their standard of living.,1.0,"Further, the rebate will be reduced by $1 for every $6 earned by which the dependant spouse's income exceeds $1000 (that is, there will be a reduction in the withdrawal rate to 1 in 6). Child Care Tax Rebate.",1
87,87,63620_199003_87,"Whether both parents work from necessity or choice, the cost of child care is expensive.",1.0,Child Care Tax Rebate. Labor's mismanagement has meant that in many Australian households both parents are required to work to minimize the decline in their standard of living.,1
88,88,63620_199003_88,We will introduce tax rebates for child care.,,"Labor's mismanagement has meant that in many Australian households both parents are required to work to minimize the decline in their standard of living. Whether both parents work from necessity or choice, the cost of child care is expensive.",1
89,89,63620_199003_89,"These rebates will be calculated against the tax liability of a sole parent or, for two parent families, on the secondary earner's income.",,"Whether both parents work from necessity or choice, the cost of child care is expensive. We will introduce tax rebates for child care.",1
90,90,63620_199003_90,A rebate of$20 a week will be paid for the first child under five.,,"We will introduce tax rebates for child care. These rebates will be calculated against the tax liability of a sole parent or, for two parent families, on the secondary earner's income.",7
91,91,63620_199003_91,"For each other child under five, and for each child aged between five and twelve, the rebate will be $10 per week.",,"These rebates will be calculated against the tax liability of a sole parent or, for two parent families, on the secondary earner's income. A rebate of$20 a week will be paid for the first child under five.",1
92,92,63620_199003_92,"To receive the rebate, child care expenditure will have to be substantiated.",,"A rebate of$20 a week will be paid for the first child under five. For each other child under five, and for each child aged between five and twelve, the rebate will be $10 per week.",5
93,93,63620_199003_93,"However, a range of child care facilities will be eligible.",,"For each other child under five, and for each child aged between five and twelve, the rebate will be $10 per week. To receive the rebate, child care expenditure will have to be substantiated.",5
94,94,63620_199003_94,These measures will be over and above the current programs for child care.,,"To receive the rebate, child care expenditure will have to be substantiated. However, a range of child care facilities will be eligible.",1
95,95,63620_199003_95,"This includes the provision of 30,000 new child care places, support for %6 government funded centers, and fee relief for low income families.",,"However, a range of child care facilities will be eligible. These measures will be over and above the current programs for child care.",5
96,96,63620_199003_96,The rebate will also lead to an increase in available child care places as the non-government sector responds to the increased demand for child care.,,"These measures will be over and above the current programs for child care. This includes the provision of 30,000 new child care places, support for %6 government funded centers, and fee relief for low income families.",1
97,97,63620_199003_97,"Our other taxation measures will also assist Australian families including the move to a flatter two-tier tax rate System, abolition of the Capital Gains Tax and its replacement with a Speculative Gains Tax and a return of bracket creep.",,"This includes the provision of 30,000 new child care places, support for %6 government funded centers, and fee relief for low income families. The rebate will also lead to an increase in available child care places as the non-government sector responds to the increased demand for child care.",1
98,98,63620_199003_98,These are outlined later in the document.,1.0,"The rebate will also lead to an increase in available child care places as the non-government sector responds to the increased demand for child care. Our other taxation measures will also assist Australian families including the move to a flatter two-tier tax rate System, abolition of the Capital Gains Tax and its replacement with a Speculative Gains Tax and a return of bracket creep.",1
99,99,63620_199003_99,HOME INTEREST RATES.,1.0,"Our other taxation measures will also assist Australian families including the move to a flatter two-tier tax rate System, abolition of the Capital Gains Tax and its replacement with a Speculative Gains Tax and a return of bracket creep. These are outlined later in the document.",1
100,100,63620_199003_100,"In the past few years, the Hawke Government has imposed record high home mortgage rates on Australian families.",1.0,These are outlined later in the document. HOME INTEREST RATES.,1
101,101,63620_199003_101,"With its lack of will to restrain government expenditure and inability to bring wage rises more into line with productivity increases, Labor has used the blunt instrument of interest rates  in an attempt to reduce demand.",1.0,"HOME INTEREST RATES. In the past few years, the Hawke Government has imposed record high home mortgage rates on Australian families.",1
102,102,63620_199003_102,"Australia's economic problems, including the problem of high interest rates, have to be tackled at a fundamental level.",,"In the past few years, the Hawke Government has imposed record high home mortgage rates on Australian families. With its lack of will to restrain government expenditure and inability to bring wage rises more into line with productivity increases, Labor has used the blunt instrument of interest rates  in an attempt to reduce demand.",1
103,103,63620_199003_103,The next Coalition Government will conduct monetary policy with the medium-term objective of reducing and eventually eliminating inflation.,,"With its lack of will to restrain government expenditure and inability to bring wage rises more into line with productivity increases, Labor has used the blunt instrument of interest rates  in an attempt to reduce demand. Australia's economic problems, including the problem of high interest rates, have to be tackled at a fundamental level.",1
104,104,63620_199003_104,"A monetary policy pursued steadily over the medium term, in conjunction with our industrial relations, fiscal, and structural policies, provides the only means of reducing inflation.",,"Australia's economic problems, including the problem of high interest rates, have to be tackled at a fundamental level. The next Coalition Government will conduct monetary policy with the medium-term objective of reducing and eventually eliminating inflation.",1
105,105,63620_199003_105,"From day one, we will put our economic policies into place which will bring about a significant and sustainable reduction in interest rates during our first term.",,"The next Coalition Government will conduct monetary policy with the medium-term objective of reducing and eventually eliminating inflation. A monetary policy pursued steadily over the medium term, in conjunction with our industrial relations, fiscal, and structural policies, provides the only means of reducing inflation.",1
106,106,63620_199003_106,"As an integrated package, our Family Tax Package represents fundamental reform.",,"A monetary policy pursued steadily over the medium term, in conjunction with our industrial relations, fiscal, and structural policies, provides the only means of reducing inflation. From day one, we will put our economic policies into place which will bring about a significant and sustainable reduction in interest rates during our first term.",1
107,107,63620_199003_107,It is the practical expression of our philosophical commitment to the Australian family.,,"From day one, we will put our economic policies into place which will bring about a significant and sustainable reduction in interest rates during our first term. As an integrated package, our Family Tax Package represents fundamental reform.",1
108,108,63620_199003_108,"A Coalition Government will support, encourage, and maintain the family unit, providing the security and certainty that has been undermined by Labor.",,"As an integrated package, our Family Tax Package represents fundamental reform. It is the practical expression of our philosophical commitment to the Australian family.",1
109,109,63620_199003_109,BETTER QUALITY HEALTH CARE.,1.0,"It is the practical expression of our philosophical commitment to the Australian family. A Coalition Government will support, encourage, and maintain the family unit, providing the security and certainty that has been undermined by Labor.",1
110,110,63620_199003_110,"Labor's health policy has resulted in endless hospital queues, a declining quality of care, and a compulsory tax levy which falls well short of funding even one quarter of Federal health costs.",1.0,"A Coalition Government will support, encourage, and maintain the family unit, providing the security and certainty that has been undermined by Labor. BETTER QUALITY HEALTH CARE.",1
111,111,63620_199003_111,Medicare has caused widespread disruption in public hospitals and placed an enormous burden on dedicated health care professionals.,1.0,"BETTER QUALITY HEALTH CARE. Labor's health policy has resulted in endless hospital queues, a declining quality of care, and a compulsory tax levy which falls well short of funding even one quarter of Federal health costs.",1
112,112,63620_199003_112,"Health care professionals - from the public, private, and consumer sectors - need to be involved in developing strategies to overcome the deficiencies of Medicare.",1.0,"Labor's health policy has resulted in endless hospital queues, a declining quality of care, and a compulsory tax levy which falls well short of funding even one quarter of Federal health costs. Medicare has caused widespread disruption in public hospitals and placed an enormous burden on dedicated health care professionals.",1
113,113,63620_199003_113,This is why our health policy is based on co-operation rather than confrontation.,,"Medicare has caused widespread disruption in public hospitals and placed an enormous burden on dedicated health care professionals. Health care professionals - from the public, private, and consumer sectors - need to be involved in developing strategies to overcome the deficiencies of Medicare.",1
114,114,63620_199003_114,"Immediately on attaining office, we will establish a Medicare and Health Insurance Advisory Council, which will draw its membership from all areas of the health care sector and health insurance industry, and include public and consumer representatives.",,"Health care professionals - from the public, private, and consumer sectors - need to be involved in developing strategies to overcome the deficiencies of Medicare. This is why our health policy is based on co-operation rather than confrontation.",1
115,115,63620_199003_115,The Council will undertake a comprehensive review of the health insurance System and advise the government accordingly.,,"This is why our health policy is based on co-operation rather than confrontation. Immediately on attaining office, we will establish a Medicare and Health Insurance Advisory Council, which will draw its membership from all areas of the health care sector and health insurance industry, and include public and consumer representatives.",1
116,116,63620_199003_116,The Council's review will adhere to the following principles:  No individual or family will be worse off as a result of policy change.,,"Immediately on attaining office, we will establish a Medicare and Health Insurance Advisory Council, which will draw its membership from all areas of the health care sector and health insurance industry, and include public and consumer representatives. The Council will undertake a comprehensive review of the health insurance System and advise the government accordingly.",1
117,117,63620_199003_117,No State or Territory government will be worse off in the funding of its public hospital System.,,The Council will undertake a comprehensive review of the health insurance System and advise the government accordingly. The Council's review will adhere to the following principles:  No individual or family will be worse off as a result of policy change.,1
118,118,63620_199003_118,Medicare will be retained and improved for those not covered by private insurance.,,The Council's review will adhere to the following principles:  No individual or family will be worse off as a result of policy change. No State or Territory government will be worse off in the funding of its public hospital System.,1
119,119,63620_199003_119,"Taxpayers will be able to 'opt out' of paying the Medicare tax levy by taking out private health insurance, and will be encouraged to do so through the provision of a tax rebate.",,No State or Territory government will be worse off in the funding of its public hospital System. Medicare will be retained and improved for those not covered by private insurance.,1
120,120,63620_199003_120,And genuine competition will be promoted.,,"Medicare will be retained and improved for those not covered by private insurance. Taxpayers will be able to 'opt out' of paying the Medicare tax levy by taking out private health insurance, and will be encouraged to do so through the provision of a tax rebate.",1
121,121,63620_199003_121,Elderly people have a particular need for good-quality health care.,1.0,"Taxpayers will be able to 'opt out' of paying the Medicare tax levy by taking out private health insurance, and will be encouraged to do so through the provision of a tax rebate. And genuine competition will be promoted.",1
122,122,63620_199003_122,"We will retain Medicare for the elderly, the disadvantaged and anyone else who wishes to retain the right to be covered by Medicare, just as they are at present.",,And genuine competition will be promoted. Elderly people have a particular need for good-quality health care.,1
123,123,63620_199003_123,"At the same time, we will encourage and assist more people to take out private health insurance.",,"Elderly people have a particular need for good-quality health care. We will retain Medicare for the elderly, the disadvantaged and anyone else who wishes to retain the right to be covered by Medicare, just as they are at present.",1
124,124,63620_199003_124,Those with private health insurance will be able to opt out of paying the Medicare levy.,,"We will retain Medicare for the elderly, the disadvantaged and anyone else who wishes to retain the right to be covered by Medicare, just as they are at present. At the same time, we will encourage and assist more people to take out private health insurance.",1
125,125,63620_199003_125,"They will also be eligible for a tax rebate to assist them in meeting their premiums for comprehensive private medical and hospital insurance, which may include 'gap' insurance.",,"At the same time, we will encourage and assist more people to take out private health insurance. Those with private health insurance will be able to opt out of paying the Medicare levy.",1
126,126,63620_199003_126,"The targeting of this tax rebate towards the bottom end of the income range means that private health insurance will again be an affordable option, even for low income earners.",,"Those with private health insurance will be able to opt out of paying the Medicare levy. They will also be eligible for a tax rebate to assist them in meeting their premiums for comprehensive private medical and hospital insurance, which may include 'gap' insurance.",1
127,127,63620_199003_127,"Under our policy more people will voluntarily go back into private health insurance allowing Medicare to better look after the very people it should be looking after, in particular the aged and the disadvantaged.",,"They will also be eligible for a tax rebate to assist them in meeting their premiums for comprehensive private medical and hospital insurance, which may include 'gap' insurance. The targeting of this tax rebate towards the bottom end of the income range means that private health insurance will again be an affordable option, even for low income earners.",1
128,128,63620_199003_128,The Pharmaceutical Benefits Scheme will be retained and the existing patient subsidies will remain in force.,,"The targeting of this tax rebate towards the bottom end of the income range means that private health insurance will again be an affordable option, even for low income earners. Under our policy more people will voluntarily go back into private health insurance allowing Medicare to better look after the very people it should be looking after, in particular the aged and the disadvantaged.",1
