,Oid,Id,Sentence,Flag,labels
54,54,63320_201309_54,"This measure is expected to benefit at least 7,600 rural cancer patients and their families over four year.",0,1
55,55,63320_201309_55,A Plan for Northern Australia,1,1
56,56,63320_201309_56,"The Rudd Labor Government will drive growth and jobs in northern Australia with new incentives for investment, a significant expansion of the Ord Irrigation Scheme and strategic development blueprints for key regional centres",0,1
57,57,63320_201309_57,"Growing the North: A Plan for Northern Australia is a three-point strategy to develop and diversify the economy of northern Australia, which straddles a vast area across north Queensland, the Northern Territory and north-west Australia.",0,1
58,58,63320_201309_58,It includes a commitment to establish a Northern Special Economic Zone focussing on the Northern Territory to encourage businesses to expand and to attract new businesses to the region.,0,1
59,59,63320_201309_59,Northern Australia is home to around one million Australians and is critical to our nation's economic future.,0,1
60,60,63320_201309_60,This is why the Rudd Government will work with business and other levels of government to help the region tap into the rapidly-growing markets of Asia.,0,1
61,61,63320_201309_61,This is a key part of Labor's plan to keep Australia's economy strong by creating new jobs for the future as the decade-long China resources boom is coming to an end.,0,2
62,62,63320_201309_62,Labor's New Car Plan for the 2020s,1,1
63,63,63320_201309_63,The Rudd Labor Government will invest in the future of Australia's automotive manufacturing industry with a New Car Plan for the 2020s.,0,1
64,64,63320_201309_64,"Federal Labor will increase Government support by $500 million to 2020, giving the industry the critical certainty it needs to invest in Australia.",0,7
65,65,63320_201309_65,Australia is entering tougher economic times as the China resources boom comes to an end.,0,2
66,66,63320_201309_66,This means manufacturing is more important than ever - we must diversify our economy beyond the mining sector so we don't have all our eggs in one basket.,0,1
67,67,63320_201309_67,"A successful automotive industry creates skilled jobs, drives high-level research and development, and supports other technologically sophisticated industries.",0,1
68,68,63320_201309_68,"Under the New Car Plan for the 2020s, Labor will expand Government support for the industry providing $300 million per year on an ongoing basis.",0,1
69,69,63320_201309_69,"This equates to an additional $500 million from 2016 to 2020 - and this will be locked in by legislation, to ensure investment certainty.",0,1
70,70,63320_201309_70,This additional support will be ongoing past 2020 to provide the industry with the certainty and support it needs and will be reviewed every 5 years.,0,1
71,71,63320_201309_71,"As part of the New Car Plan for the 2020s, the Rudd Labor Government also commits to:",1,1
72,72,63320_201309_72,"Provide support to Motor Vehicle Producers (MVP), and the automotive supply chain including component producers and service providers.",0,1
73,73,63320_201309_73,"Provide support through a co-investment program for automotive production, plant and equipment, tooling, innovation and design and engineering services.",0,1
74,74,63320_201309_74,Have a specific legislative objective of integrating the automotive supply chain into local and global non-automotive markets.,0,1
75,75,63320_201309_75,"Australia's car industry directly employs around 50,000 people, makes the largest†research and development investment in the manufacturing sector and supports an extensive supply chain of component producers.",0,1
76,76,63320_201309_76,"The automotive supply chain reaches into every State and Territory, employing:",1,1
77,77,63320_201309_77,"Around 28,000 workers in Victoria.",0,1
78,78,63320_201309_78,"Over 6,500 workers in New South Wales.",0,1
79,79,63320_201309_79,"Over 7,000 workers in Queensland.",0,1
80,80,63320_201309_80,"Over 5,000 workers in South Australia.",0,1
81,81,63320_201309_81,"Over 2,000 workers in Western Australia.",0,1
82,82,63320_201309_82,"Over 500 workers in Tasmania, the Australian Capital Territory and the Northern Territory.",0,1
83,83,63320_201309_83,Australia is one of only 13 countries which can take a vehicle from the drawing board†to the showroom floor.,0,1
84,84,63320_201309_84,"Manufacturers, governments, unions and workers need to work together to secure†the future of this strategic industry.",0,1
85,85,63320_201309_85,This week Holden's workers made sacrifices to ensure the viability of their industry.,0,1
86,86,63320_201309_86,Suppliers are playing their part by cutting costs and improving productivity.,0,1
87,87,63320_201309_87,State Governments have also pledged support through co-investment funds.,0,1
88,88,63320_201309_88,"Now the Rudd Labor Government is re-committing to a viable, high tech and long†term Australian automotive industry",0,1
89,89,63320_201309_89,Tony Abbott's position couldn't be more different.,0,1
90,90,63320_201309_90,He will cut $500 million in automotive support to 2015 and hold a Productivity†Commission review before deciding whether there will be any assistance at all after†2015.,0,7
91,91,63320_201309_91,The choice for anyone who cares about the future of the Australian-made car and†Australian manufacturing jobs is clear.,0,2
92,92,63320_201309_92,"Under Federal Labor's New Car Plan for the 2020s, the automotive industry will†make a vital contribution to our economy after the China resources boom.",0,7
93,93,63320_201309_93,"It will†make 250,000 direct and indirect jobs more secure.",0,1
94,94,63320_201309_94,"Under the Coalition's cuts, the Australian-made car will be relegated to the history†books and 250,000 Australian jobs will be at risk, with 50,000 certain to go.",0,1
95,95,63320_201309_95,The New Car Plan for the 2020s will be funded from within the existing funding†allocation and no new funds will be required for the program until 2018.,0,1
96,96,63320_201309_96,"Posted by Australian Labor on August 17, 2013",1,1
97,97,63320_201309_97,Stroke Care Coordinators in Medicare Locals,1,1
98,98,63320_201309_98,The Federal Labor Government will provide $50 million to improve care for stroke patients from hospital to home.,0,1
99,99,63320_201309_99,"This money will fund around 61 Stroke Care Co-ordinators to deliver better care, support and service coordination through Medicare Locals across the country.",0,1
100,100,63320_201309_100,Funding will also be provided to the StrokeConnect program run by The Stroke Foundation.,0,1
101,101,63320_201309_101,StrokeConnect will work in connection with Medicare locals to ensure that people get the right level of care based on their individual needs.,0,4
102,102,63320_201309_102,"Stroke Care Co-ordinators will provide information and education to patients and families and they will help patients to access local follow-up and rehabilitation programs, making sure that stroke sufferers get access to the care they need once they've left hospital.",0,1
103,103,63320_201309_103,"Co-ordinators will be drawn from a range of fields, including nursing and allied health, ensuring that they have the experience and skills to offer much-needed support and assistance to patients and their families.",0,1
104,104,63320_201309_104,Better Schools: Better Skills,1,1
105,105,63320_201309_105,"The Rudd Labor Government has announced $209.8 million to build 137 new Trades Training Centres, benefitting 225 schools across the country.",0,7
106,106,63320_201309_106,"This investment is part of Federal Labor's positive plan to ensure all Australian students are given every opportunity to secure high-skill, high-wage jobs beyond the China mining investment boom.",0,1
107,107,63320_201309_107,"This funding represents the next instalment (Round Five, Phase One) of the Rudd Labor Government's highly successful 10 year $2. 5 billion Trades Training Centres in Schools program.",0,1
108,108,63320_201309_108,"As a result of this announcement, the Trades Training Centres in Schools program has committed $1. 4 billion for more than 510 Trades Training Centres, benefitting more than 1,290 secondary schools.",0,1
109,109,63320_201309_109,Over 60 per cent of these schools are located in regional Australia.,0,1
110,110,63320_201309_110,New Centre for Extreme Weather and Flood Forecasting,1,1
111,111,63320_201309_111,The Rudd Labor Government has today announced $58. 5 million to improve the Bureau of Meteorology's capacity to respond to extreme weather and natural disasters.,0,1
112,112,63320_201309_112,"As part of the package, the Federal Labor Government would establish a new National Centre for Extreme Weather to bring together the specialist skills and expertise required to respond to extreme weather events.",0,1
113,113,63320_201309_113,"The Centre will implement a next-generation flood forecasting system similar to that used in the United Kingdom and United States, and develop and build an advanced storm tide prediction system.",0,1
114,114,63320_201309_114,"This technology will provide better warnings for people in low lying areas, particularly along the Queensland coast.",0,1
115,115,63320_201309_115,"Climate change is increasing the frequency and intensity of extreme weather events, like Cyclone Yasi, the Queensland floods and the Black Saturday bushfires.",0,1
116,116,63320_201309_116,This package will increase the Bureau's ability to inform and warn Australians before and during severe weather.,0,1
117,117,63320_201309_117,"We need to be in a better position to respond to these events to ensure people can make decisions to protect their lives, their homes as well as community infrastructure.",0,1
118,118,63320_201309_118,The measures announced today build on the Federal Labor Government's initial response to the Munro Review of the Bureau of Meteorology's capacity to respond to future extreme weather and natural disaster events and to provide seasonal forecasting services in the 2012-13 Federal Budget.,0,1
119,119,63320_201309_119,"The Rudd Labor Government's response makes clear the strong commitment to improving the Bureau's ability to provide the up-to-the-minute services Australians rely upon ñ24 hours a day, 7 days a week.",0,1
120,120,63320_201309_120,"Our investment of $3.7 million in vital infrastructure repairs this year and increasing frontline forecasters, including 42 meteorologists and 23 hydrologists, will mean better outcomes through improved emergency planning, response strategies and management systems.",0,1
121,121,63320_201309_121,This funding has already been included in the budget.,0,1
122,122,63320_201309_122,Perth Will Be Home to Global Oil and Gas Innovation,1,1
123,123,63320_201309_123,The Rudd Government will invest in the jobs and economic growth of the future with two significant initiatives in Western Australia centred on the oil and gas sector.,0,1
124,124,63320_201309_124,"A re-elected Rudd Government will establish a new National Floating Systems Research Centre in Perth, led by the CSIRO and the Australian Institute of Marine Science (AIMS) in partnership with industry.",0,1
125,125,63320_201309_125,"In addition, the Rudd Government has also announced Perth will be the national headquarters of the Oil & Gas Innovation Partnership, with additional nodes in Brisbane, Darwin, Adelaide, Melbourne and Sydney.",0,1
126,126,63320_201309_126,These initiatives are a key part of the Rudd Government's responsible plan to assist Australia transition to new sources of economic growth as the China resources investment boom comes to an end.,0,1
127,127,63320_201309_127,"The oil & gas industry is investing $200 billion in Australia over 5 years, creating over 100,000 new jobs.",0,1
128,128,63320_201309_128,By 2025 this will add $260 billion to GDP.,0,1
129,129,63320_201309_129,"But with investment growth from China slowing, now is the time to diversify, to innovate and to put in place strategies that will see our resources sector keep creating jobs and export revenue.",0,1
130,130,63320_201309_130,National Floating Systems Research Centre,1,1
131,131,63320_201309_131,Floating systems are the way of the future.,0,1
132,132,63320_201309_132,Australia is already on track to be the first country in the world where floating LNG is deployed.,0,2
133,133,63320_201309_133,We will boast the only workforce in the world capable of operating this next generation technology.,0,1
134,134,63320_201309_134,The National Floating Systems Research Centre will ensure we capitalise on this opportunity.,0,1
135,135,63320_201309_135,"It will be an internationally leading research centre in offshore oil and gas production and floating systems that will help attract new investment, and new high-skill high wage jobs to Australia.",0,1
136,136,63320_201309_136,"We will invest $30 million in the new centre, to be matched with co-investment from the project partners taking total investment to more than $60 million over 3 years.",0,1
137,137,63320_201309_137,Oil & Gas Innovation Partnership,1,1
138,138,63320_201309_138,"Under Federal Labor's $1 billion Plan for Australian Jobs, the Rudd Government will†establish the Oil & Gas Innovation Partnership.",0,1
139,139,63320_201309_139,"This industry-led network will increase collaboration between industry and†researchers and create new opportunities, both here and abroad including multibillion†dollar investments and new products and services.",0,1
140,140,63320_201309_140,"This partnership is backed by some of the biggest names in the oil and gas business†both upstream and midstream, onshore and offshore.",0,1
141,141,63320_201309_141,"Multi-nationals like Woodside, Shell & Santos will work alongside the CSIRO, some†of our top universities and SME suppliers, to create the opportunities to broaden and†expand the industry beyond the current wave of investment.",0,1
142,142,63320_201309_142,"This partnership has the potential to attract a further $180 billion, or 1.5 per cent of†GDP, in investment.",0,1
143,143,63320_201309_143,"Improvements in productivity, development of new technologies and new investment†has the potential to create over 150,000 new jobs, even with the China resource†investment boom winding down.",0,1
144,144,63320_201309_144,The Rudd Labor Government will ensure that Australia is at the forefront of science†and research into the development of world's best oil and gas technologies and†processes.,0,1
145,145,63320_201309_145,"In order to sustain a world class industry after the boom, we need to export more†than just raw commodities ñ our IP, our expertise, our technologies are valuable†commodities that will grow the industry and jobs far beyond the boom.",0,1
146,146,63320_201309_146,"Together, these commitments are part of the Rudd Labor Government's plan for jobs†beyond the boom.",0,1
147,147,63320_201309_147,"A plan for a broader, more productive and more high tech†economy.",0,1
148,148,63320_201309_148,"Federal Labor is backing Australian industries, using the best science to†create the best jobs and the best opportunities for all Australians.",0,1
149,149,63320_201309_149,Funding for these commitments is provided for in the budget.,0,1
150,150,63320_201309_150,Prime Minister Pledges Vote on Marriage Equality,1,1
151,151,63320_201309_151,The Prime Minister Kevin Rudd has pledged to fast-track marriage equality legislation if Federal Labor is re-elected.,0,1
152,152,63320_201309_152,This is a reform millions of Australians from all walks of life have waited a long time to see made to Australian law.,0,1
153,153,63320_201309_153,"Within 100 days of a re-elected Rudd Labor Government, Federal Labor will introduce a Bill into the Parliament to legalise same-sex marriage.",0,1
154,154,63320_201309_154,Labor Party MPs will be granted a conscience vote when the Bill comes before the Parliament.,0,1
155,155,63320_201309_155,The Prime Minister said marriage equality would put everyone on an equal footing.,0,1
156,156,63320_201309_156,"``I've been thinking about the meaning of marriage for a long time - and I won't hide the fact that this has been a journey for me. It is a difficult discussion, and I won't force this on anyone. It will be a free vote for members of the Labor Party,""ù the Prime Minister said",0,1
157,157,63320_201309_157,"``But here is what I know: we are at our best when we give all Australians the same dignity, the same opportunity for happiness. I believe that no matter who we love, we all should be able to make that same promise I was able to make to Therese over 30 years ago. That all of us should be allowed to marry the one we love.""",0,1
158,158,63320_201309_158,Mr Rudd is the first Australian Prime Minister to go into an election promising to support marriage equality.,0,1
159,159,63320_201309_159,Tony Abbott should match the Prime Minister's commitment and allow Liberal Party MPs to vote according to their conscience on this issue in the new Parliament.,0,1
160,160,63320_201309_160,Step into Skills,1,1
161,161,63320_201309_161,The Rudd Labor Government today announced a new program to give young people the basic skills they need to set a path to decent and secure jobs.,0,6
162,162,63320_201309_162,Federal Labor has a positive plan to support new jobs as our economy comes to the end of the China resources investment boom and we tackle the challenges of the future.,0,1
163,163,63320_201309_163,"As part of this plan, we will provide $35 million over three years for a new†Step into Skills†program.",0,7
164,164,63320_201309_164,"Delivered primarily through TAFE, the†Step into Skills†program will give more than 8,900 disadvantaged young people aged between 16 to 24 years better prospects of gaining employment by providing training in foundation skills.",0,1
165,165,63320_201309_165,"These are the general skills and knowledge necessary for effective participation in the workforce, such as communication, self-management, problem solving and teamwork.",0,1
166,166,63320_201309_166,"The unemployment rate for people who do not complete Year 12 and do not complete a further non-school qualification is 9.2†per†cent, significantly higher than the general unemployment rate.",0,1
167,167,63320_201309_167,"Young people who do not complete Year 12 or a non-school qualification often lack basic literacy, numeracy and employability skills, locking them out of the jobs market.",0,1
168,168,63320_201309_168,That means better access to training in foundation skills is critical for reducing unemployment amongst this group of young Australians.,0,1
169,169,63320_201309_169,"They may also need help with being able to plan and organise, make decisions, communicate effectively, identify and solve problems, and manage their careers and work lives.",0,1
170,170,63320_201309_170,Australia's innovative and dynamic $1. 6 trillion economy simply cannot afford to have so many young people not being equipped with basic skills.,0,1
171,171,63320_201309_171,"That is why we announced our $10 billion†Better Schools Plan†to give children the individual, one-on-one attention they need to develop to their full potential.",0,1
172,172,63320_201309_172,"The†Step into Skills†program will do more to support young people who have just left or are about to leave school, helping them to find work or undertake further training.",0,1
173,173,63320_201309_173,"Step into Skills will focus on job seekers aged 16 to 24, and will include simulated work experience opportunities, language, literacy and numeracy, problem solving and communication training.",0,1
174,174,63320_201309_174,"Labor is committed to managing our economy to support jobs, boost workforce participation and improve skills.",0,1
175,175,63320_201309_175,Our focus on skills and training will ensure the benefits of economic growth flow to disadvantaged young people ñ it will also contribute to improved productivity.,0,1
176,176,63320_201309_176,Federal Labor's reforms have already delivered better training opportunities for Australians through:,0,1
177,177,63320_201309_177,Record investment in skills and training of over $19†billion over the past five years.,0,7
178,178,63320_201309_178,A national training entitlement under the $1.75†billion Skills Reform National Partnership.,0,1
179,179,63320_201309_179,This entitlement means all Australians are guaranteed access to a training place up to Certificate III level.,0,1
180,180,63320_201309_180,"Access to Income Contingent Loans to finance a higher level vocational qualification ñ all Australians have an entitlement to over $90,000 worth of training under this initiative.",0,1
181,181,63320_201309_181,Access to a Trade Training Centre for every senior high school student in Australia by 2018.,0,1
182,182,63320_201309_182,"Access to an apprenticeship for 70,000 Australians through the Kickstart Initiative.",0,7
183,183,63320_201309_183,Uncapped undergraduate university places delivered by the Government's Bradley Reforms.,0,1
184,184,63320_201309_184,This means Australians need never miss out on a degree because of a shortage of places.,0,1
185,185,63320_201309_185,Step into Skills†will be another step in Federal Labor's investment in skills to support jobs for Australians.,0,1
186,186,63320_201309_186,Funding for this program is already included in the Budget.,0,1
187,187,63320_201309_187,Skilling for Better Services,1,1
188,188,63320_201309_188,"Federal Labor has a plan to deliver thousands of skilled jobs in the community services sector, through its historic investment in better social services and in the skilled workforce that delivers them.",0,1
189,189,63320_201309_189,Labor is investing more than $14 billion in additional funding for disability services over seven years as DisabilityCare is rolled out nationally.,0,1
190,190,63320_201309_190,"We're also investing $3.7 billion in aged care reform over five years, including more than 40,000 extra home care packages.",0,1
191,191,63320_201309_191,The Rudd Labor Government's new Skilling for Better Services program will provide extra investment in the skills to support these reforms through $30.6 million of new investment in our social services workforce.,0,1
192,192,63320_201309_192,"This funding will provide for the training or up skilling of 5,800 extra community service workers and early childhood educators.",0,1
193,193,63320_201309_193,"The additional places will be delivered through the National Workforce Development Fund, which funds training places through a co-contribution partnership model with employers.",0,1
194,194,63320_201309_194,"This new funding is in addition to the existing National Workforce Development Fund allocation for community sector training places, which has provided $43. 3 million over two years for over 18,000 community and health service sector training places.",0,7
195,195,63320_201309_195,Helping Hand for Parents on Outside School Hours Care,1,1
196,196,63320_201309_196,A Rudd Labor Government will provide parents of school aged children with better information to help them find the right kind of child care for them.,0,6
197,197,63320_201309_197,"A revamp of the MyChild website will give parents access to more information than ever before about the types of child care services in their community, particularly for those parents looking for outside school hours care.",0,1
198,198,63320_201309_198,This will reduce the time parents spend searching for outside school hours care and will give parents more confidence about the types of activities their child will be participating in when in that care.,0,1
199,199,63320_201309_199,"This initiative builds on the Rudd Labor Governments $450 million Better Schools: Before and After plan, providing $450 million for up to 500 schools to expand outside school hours care and deliver greater flexibility and quality in these programs.",0,7
200,200,63320_201309_200,Inclusion of Korean as a Priority Language,1,1
201,201,63320_201309_201,Prime Minister Kevin Rudd today launched the Australia in the Asian Century Country Strategy for the Republic of Korea (ROK) during a visit to the electorate of Bennelong in Sydney.,0,2
202,202,63320_201309_202,"The strategy outlines the Rudd Labor Government's vision of what Australia's relationship with South Korea should be by 2025 across education, culture and business.",0,2
203,203,63320_201309_203,"The Prime Minister further announced Korean would now be included as a national priority Asian language along with Mandarin, Indonesian, Hindi and Japanese.",0,1
204,204,63320_201309_204,Although Australia and South Korea already share trade worth $32 billion it is recognised there is significant untapped potential in our economic relationship.,0,1
205,205,63320_201309_205,"The country strategy highlights the need to deepen our relationship with the Republic of Korea, and identifies opportunities to expand multilateral cooperation in non-proliferation, climate change, science and technology research and development.",0,1
206,206,63320_201309_206,The Prime Minister recognised the community contributions to the development of the Asian Century Country Strategies.,0,1
207,207,63320_201309_207,"Consultations on the South Korea Country Strategy were held throughout April and May with business, academia, local government, youth groups, and community organisations participating in roundtables and public forums in each State and Territory capital.",0,1
208,208,63320_201309_208,"South Korea, China, India, Indonesia and Japan were identified as the initial priority countries for the development of country strategies under the Australia in the Asian Century White Paper.",0,2
209,209,63320_201309_209,"These countries were chosen due to their size, economic links with Australia, and their strategic and political influence in our region and globally.",0,2
210,210,63320_201309_210,"Over the past 50 years, South Korea has successfully transformed its economic landscape, developing into the world's 12th largest economy based on purchasing power parity, with a gross domestic product of $1.6 trillion.",0,7
211,211,63320_201309_211,The Republic of Korea Country Strategy and information on the public consultations and submissions can be found at†http://www.dfat.gov.au/issues/asian-century.,1,1
212,212,63320_201309_212,These initiatives do not involve any costs to the Budget.,0,1
213,213,63320_201309_213,Better Schools: Before and After School,1,1
214,214,63320_201309_214,The Rudd Labor Government's new Better Schools: Before and After plan is improving Outside School Hours Care by offering:,0,1
215,215,63320_201309_215,More flexible opening hours ñbefore and after school and during school holidays.,0,1
216,216,63320_201309_216,More places ñin areas where parents need access to out of school hours care.,0,1
217,217,63320_201309_217,"New, high quality activities and programs for children such as sporting activities, music lessons and homework clubs.",0,1
218,218,63320_201309_218,"This will be delivered through the Better Schools: Before and After program, a $450 million fund that will benefit up to 500 schools over the next four years.",0,7
219,219,63320_201309_219,"Around 345,000 children ñmainly in primary school ñare expected to benefit from the initiative.",0,1
220,220,63320_201309_220,Labor is for Growth and Opportunity,1,1
221,221,63320_201309_221,Our economy is in transition with the end of the mining boom.,0,1
222,222,63320_201309_222,So we believe we must build for the future - by investing in new industries and new jobs.,0,1
223,223,63320_201309_223,Labor will grow the new jobs and build the new industries of the future with our $1 billion jobs program - because we can't have all our eggs in one basket.,0,1
224,224,63320_201309_224,We will keep Australia's Triple A credit rating without Mr Abbott's $70 billion of unnecessary cuts to the bone.,0,1
225,225,63320_201309_225,We are building the world-class infrastructure of the future like the National Broadband Network to build the businesses of tomorrow.,0,1
226,226,63320_201309_226,"When the toughest global economic conditions in more than 75 years hit, Labor got†it right and kept Australia from going into recession.",0,2
227,227,63320_201309_227,"Because Labor got these big calls right, Australia's economy has shown a resilience and a recovery†which is now the envy of the world.",0,2
228,228,63320_201309_228,"Australia's economy has recorded solid growth and is now over 14 per cent larger than when Labor came to office in 2007, while many advanced economies are struggling to return to pre-Global Financial Crisis levels.",0,7
229,229,63320_201309_229,"Unemployment is low, with nearly 1 million jobs created since Labor came to office in 2007 compared to the 28 million added to unemployment queues around the world over the same period.",0,1
230,230,63320_201309_230,"Inflation is contained under Labor, which has enabled low interest rates.",0,1
231,231,63320_201309_231,"The average Australian paying off a mortgage is now paying around $5,500 a year less than they were when the Coalition left office in 2007.",0,1
232,232,63320_201309_232,"There is record business investment in Australia, with nearly $270 billion committed in the resources sector alone.",0,1
233,233,63320_201309_233,This strong foundation means Labor can put in place the big reforms we need to secure our prosperity for generations to come.,0,1
234,234,63320_201309_234,"Of course, the future isn't assured, and as well as the lingering aftershocks of the Global Financial Crisis, we are now entering a significant economic transition as the mining investment boom passes its peak.",0,1
235,235,63320_201309_235,"Rapidly falling commodity prices, and continued††global uncertainty and the high dollar have taken a sledgehammer to government revenues.",0,1
236,236,63320_201309_236,But Labor has said very clearly that we will not put in place savage cuts that would put our economic fundamentals at risk ñwe will never risk jobs and growth.,0,1
237,237,63320_201309_237,Jobs and growth have been at the heart of Labor's economic plan since we came to office.,0,1
238,238,63320_201309_238,"When the GFC hit, it was jobs and growth that Labor put first when putting in place the recession-beating stimulus package.",0,1
239,239,63320_201309_239,And Labor has jobs and growth front and centre today during this period of transition.,0,1
240,240,63320_201309_240,Labor will continue to run a disciplined and sustainable fiscal policy that makes room for future Labor reforms.,0,1
241,241,63320_201309_241,"This is why we've outlined an Economic Statement that tracks a path back to surplus, making responsible savings while supporting jobs and growth.",0,1
242,242,63320_201309_242,"Taxes will continue to be lower under Labor than they were under the Coalition, with a typical Australian family receiving income tax cuts worth over $3500 a year since we came to office.",0,1
243,243,63320_201309_243,And Labor will always do the right thing by releasing all policies and costings to the Australian people consistent with the Charter of Budget Honesty.,0,2
244,244,63320_201309_244,Labor is for Families,1,1
245,245,63320_201309_245,"Labor has always worked hard to protect jobs and support families, from introducing pensions for war widows and the first family payments, to ensuring Australian workers kept their jobs during the recent global financial crisis.",0,1
246,246,63320_201309_246,"Despite a resilient economy that is the envy of the world, Labor understands it hasn't been easy for many modern families.",0,1
