,oid,Id,sentence,cmp_code,eu_code,Flag,Context,labels
45,45,63320_201008_45,"We have cut binge drinking, by closing the tax loophole that saw alcopop sales soar and implementing a $103 million binge drinking strategy.",504,,,"We are providing more attractive incentives and retention bonuses for doctors to work in rural and regional Australia, because we know that these areas are the lifeblood of Australia. We have increased aged care places by more than 10,000 - including 838 new transitional care places to help up to 6,285 older Australians leave hospital sooner each year.",7
46,46,63320_201008_46,This has seen alcopops consumption fall by 30 per cent.,504,,,"We have increased aged care places by more than 10,000 - including 838 new transitional care places to help up to 6,285 older Australians leave hospital sooner each year. We have cut binge drinking, by closing the tax loophole that saw alcopop sales soar and implementing a $103 million binge drinking strategy.",5
47,47,63320_201008_47,"We are rolling out preventative health programs in schools, workplaces and communities across the country.",504,,,"We have cut binge drinking, by closing the tax loophole that saw alcopop sales soar and implementing a $103 million binge drinking strategy. This has seen alcopops consumption fall by 30 per cent.",6
48,48,63320_201008_48,More doctors and nurses for Emergency Departments.,504,,1.0,"This has seen alcopops consumption fall by 30 per cent. We are rolling out preventative health programs in schools, workplaces and communities across the country.",1
49,49,63320_201008_49,"A Gillard Labor Government will train more emergency doctors and nurses, so hospitals have the frontline staff they need to ensure that every Australian gets emergency treatment within the four hour national target.",504,,,"We are rolling out preventative health programs in schools, workplaces and communities across the country. More doctors and nurses for Emergency Departments.",3
50,50,63320_201008_50,"Federal Labor will invest $96 million in a comprehensive package to deliver more and better qualified emergency doctors, nurses and support staff.",504,,,"More doctors and nurses for Emergency Departments. A Gillard Labor Government will train more emergency doctors and nurses, so hospitals have the frontline staff they need to ensure that every Australian gets emergency treatment within the four hour national target.",7
51,51,63320_201008_51,This package will:,,,,"A Gillard Labor Government will train more emergency doctors and nurses, so hospitals have the frontline staff they need to ensure that every Australian gets emergency treatment within the four hour national target. Federal Labor will invest $96 million in a comprehensive package to deliver more and better qualified emergency doctors, nurses and support staff.",1
52,52,63320_201008_52,Deliver 270 more specialist doctors that are trained in emergency medicine over the next decade.,504,,,"Federal Labor will invest $96 million in a comprehensive package to deliver more and better qualified emergency doctors, nurses and support staff. This package will:",7
53,53,63320_201008_53,"Support up to 2,000 more emergency nurses and nurse practitioners over the next decade.",504,,,This package will: Deliver 270 more specialist doctors that are trained in emergency medicine over the next decade.,7
54,54,63320_201008_54,"Support 1,000 student nurses over the next decade to gain experience in Emergency Departments as part of their education.",504,,,"Deliver 270 more specialist doctors that are trained in emergency medicine over the next decade. Support up to 2,000 more emergency nurses and nurse practitioners over the next decade.",7
55,55,63320_201008_55,"Support supervisors to train and up skill GPs and other doctors in outer suburban and rural areas, where specialist emergency doctors aren't always available.",504,,,"Support up to 2,000 more emergency nurses and nurse practitioners over the next decade. Support 1,000 student nurses over the next decade to gain experience in Emergency Departments as part of their education.",1
56,56,63320_201008_56,Provide training to improve the skills of support staff in Emergency Departments ñ so that specialist emergency doctors and nurses can focus on their job.,504,,,"Support 1,000 student nurses over the next decade to gain experience in Emergency Departments as part of their education. Support supervisors to train and up skill GPs and other doctors in outer suburban and rural areas, where specialist emergency doctors aren't always available.",6
57,57,63320_201008_57,Mental health: taking action to tackle suicide,504,,,"Support supervisors to train and up skill GPs and other doctors in outer suburban and rural areas, where specialist emergency doctors aren't always available. Provide training to improve the skills of support staff in Emergency Departments ñ so that specialist emergency doctors and nurses can focus on their job.",1
58,58,63320_201008_58,"Suicide is a tragedy ñ for individuals, for families, and for communities in which someone has taken their own life.",504,,,Provide training to improve the skills of support staff in Emergency Departments ñ so that specialist emergency doctors and nurses can focus on their job. Mental health: taking action to tackle suicide,1
59,59,63320_201008_59,More than 2000 Australians take their lives every year.,504,,,"Mental health: taking action to tackle suicide Suicide is a tragedy ñ for individuals, for families, and for communities in which someone has taken their own life.",1
60,60,63320_201008_60,"A re-elected Gillard Labor Government will redouble our national efforts to prevent the tragedy of suicide in order to reduce the tragic toll it imposes on individuals, families and communities.",504,,,"Suicide is a tragedy ñ for individuals, for families, and for communities in which someone has taken their own life. More than 2000 Australians take their lives every year.",1
61,61,63320_201008_61,The Government will invest $276.9 million over four years to:,504,,,"More than 2000 Australians take their lives every year. A re-elected Gillard Labor Government will redouble our national efforts to prevent the tragedy of suicide in order to reduce the tragic toll it imposes on individuals, families and communities.",7
62,62,63320_201008_62,"Provide more services to those at greatest risk of suicide ñ including psychology and psychiatry services, as well as non-clinical support to assist people with severe mental illness and their carers with their day-to-day needs.",504,,,"A re-elected Gillard Labor Government will redouble our national efforts to prevent the tragedy of suicide in order to reduce the tragic toll it imposes on individuals, families and communities. The Government will invest $276.9 million over four years to:",1
63,63,63320_201008_63,"Invest more in direct suicide prevention and crisis intervention, including through boosting the capacity of counselling services such as Lifeline and providing funding to improve safety at suicide 'hotspots'.",504,,,"The Government will invest $276.9 million over four years to: Provide more services to those at greatest risk of suicide ñ including psychology and psychiatry services, as well as non-clinical support to assist people with severe mental illness and their carers with their day-to-day needs.",1
64,64,63320_201008_64,"Provide more services and support to men ñ who are at greatest risk of suicide, but least likely to seek help.",504,,,"Provide more services to those at greatest risk of suicide ñ including psychology and psychiatry services, as well as non-clinical support to assist people with severe mental illness and their carers with their day-to-day needs. Invest more in direct suicide prevention and crisis intervention, including through boosting the capacity of counselling services such as Lifeline and providing funding to improve safety at suicide 'hotspots'.",1
65,65,63320_201008_65,"Promote good mental health and resilience in young people, to prevent suicide later in life.",504,,,"Invest more in direct suicide prevention and crisis intervention, including through boosting the capacity of counselling services such as Lifeline and providing funding to improve safety at suicide 'hotspots'. Provide more services and support to men ñ who are at greatest risk of suicide, but least likely to seek help.",1
66,66,63320_201008_66,School Reform.,,,1.0,"Provide more services and support to men ñ who are at greatest risk of suicide, but least likely to seek help. Promote good mental health and resilience in young people, to prevent suicide later in life.",1
67,67,63320_201008_67,"The Gillard Labor Government's vision is to make every school a great school ñ because in the 21st century, a great school and a great education are the keys that unlock an individual's potential and the nation's future.",506,,,"Promote good mental health and resilience in young people, to prevent suicide later in life. School Reform.",1
68,68,63320_201008_68,"Only with world class schools can we build a high-productivity, high-participation economy that gives all Australians the opportunity of rewarding and satisfying work.",506,,,"School Reform. The Gillard Labor Government's vision is to make every school a great school ñ because in the 21st century, a great school and a great education are the keys that unlock an individual's potential and the nation's future.",6
69,69,63320_201008_69,"The Gillard Labor Government's vision is to make every school a great school ñ because in the 21st century, a great school and a great education are the keys that unlock an individual's potential and the nation's future",506,,,"The Gillard Labor Government's vision is to make every school a great school ñ because in the 21st century, a great school and a great education are the keys that unlock an individual's potential and the nation's future. Only with world class schools can we build a high-productivity, high-participation economy that gives all Australians the opportunity of rewarding and satisfying work.",1
70,70,63320_201008_70,"Only with world class schools can we build a high-productivity, high-participation economy that gives all Australians the opportunity of rewarding and satisfying work",506,,,"Only with world class schools can we build a high-productivity, high-participation economy that gives all Australians the opportunity of rewarding and satisfying work. The Gillard Labor Government's vision is to make every school a great school ñ because in the 21st century, a great school and a great education are the keys that unlock an individual's potential and the nation's future",3
71,71,63320_201008_71,"In government, Labor is delivering ambitious reforms that are already changing Australia's schools ñ achieving more for our schools in less than three years than the Coalition delivered in almost 12.",506,,,"The Gillard Labor Government's vision is to make every school a great school ñ because in the 21st century, a great school and a great education are the keys that unlock an individual's potential and the nation's future Only with world class schools can we build a high-productivity, high-participation economy that gives all Australians the opportunity of rewarding and satisfying work",1
72,72,63320_201008_72,"The Government is making major investments to reverse the under-funding that has held our schools back for too long ñ doubling the funding for Australian schools, because we know that no other investment will generate the enduring, long-term returns like our investment in our human capital.",506,,,"Only with world class schools can we build a high-productivity, high-participation economy that gives all Australians the opportunity of rewarding and satisfying work In government, Labor is delivering ambitious reforms that are already changing Australia's schools ñ achieving more for our schools in less than three years than the Coalition delivered in almost 12.",6
73,73,63320_201008_73,Consider this: a child who is 5 years old today is likely to still be in the workforce through to the 2070s.,506,,,"In government, Labor is delivering ambitious reforms that are already changing Australia's schools ñ achieving more for our schools in less than three years than the Coalition delivered in almost 12. The Government is making major investments to reverse the under-funding that has held our schools back for too long ñ doubling the funding for Australian schools, because we know that no other investment will generate the enduring, long-term returns like our investment in our human capital.",1
74,74,63320_201008_74,The quality of their schooling now will make a difference to what they learn and whether they achieve their potential across the span of their working life.,506,,,"The Government is making major investments to reverse the under-funding that has held our schools back for too long ñ doubling the funding for Australian schools, because we know that no other investment will generate the enduring, long-term returns like our investment in our human capital. Consider this: a child who is 5 years old today is likely to still be in the workforce through to the 2070s.",1
75,75,63320_201008_75,"That means that the investment we make in great schools today will be paying dividends for most of the century ahead through higher participation, stronger productivity and increased economic growth.",506,,,Consider this: a child who is 5 years old today is likely to still be in the workforce through to the 2070s. The quality of their schooling now will make a difference to what they learn and whether they achieve their potential across the span of their working life.,6
76,76,63320_201008_76,That is why the Government has invested in modernising infrastructure with the Building the Education Revolution program and Trade Training Centres ñ together with our investments in improving teacher quality.,506,,,"The quality of their schooling now will make a difference to what they learn and whether they achieve their potential across the span of their working life. That means that the investment we make in great schools today will be paying dividends for most of the century ahead through higher participation, stronger productivity and increased economic growth.",1
77,77,63320_201008_77,"Alongside our additional investments, the Gillard Labor Government is undertaking major reforms ñ with the goal of making Australia's schools among the best in the world so we can compete successfully with countries like Singapore, Korea and Hong Kong.",506,,,"That means that the investment we make in great schools today will be paying dividends for most of the century ahead through higher participation, stronger productivity and increased economic growth. That is why the Government has invested in modernising infrastructure with the Building the Education Revolution program and Trade Training Centres ñ together with our investments in improving teacher quality.",6
78,78,63320_201008_78,"Creating world class schools is at the heart of 21st century microeconomic reform ñ it is every bit as important as Labor's past big economic reforms like tariff cuts, industry deregulation, national competition policy and enterprise bargaining.",506,,,"That is why the Government has invested in modernising infrastructure with the Building the Education Revolution program and Trade Training Centres ñ together with our investments in improving teacher quality. Alongside our additional investments, the Gillard Labor Government is undertaking major reforms ñ with the goal of making Australia's schools among the best in the world so we can compete successfully with countries like Singapore, Korea and Hong Kong.",3
79,79,63320_201008_79,"The sectors in the economy that need renewal and reform are the services that were relatively untouched by the big economic reform era of the Hawke and Keating governments ñ sectors like education and health, which are largely delivered within the domestic economy.","506, 504",,,"Alongside our additional investments, the Gillard Labor Government is undertaking major reforms ñ with the goal of making Australia's schools among the best in the world so we can compete successfully with countries like Singapore, Korea and Hong Kong. Creating world class schools is at the heart of 21st century microeconomic reform ñ it is every bit as important as Labor's past big economic reforms like tariff cuts, industry deregulation, national competition policy and enterprise bargaining.",1
80,80,63320_201008_80,"The education and health sectors include schools, universities, hospitals and aged care facilities ñ with a diverse range of providers from the public, private and non-government sectors, and services where competition and value are often held back by jurisdictional red tape and the lack of seamless national markets.","506, 504",,,"Creating world class schools is at the heart of 21st century microeconomic reform ñ it is every bit as important as Labor's past big economic reforms like tariff cuts, industry deregulation, national competition policy and enterprise bargaining. The sectors in the economy that need renewal and reform are the services that were relatively untouched by the big economic reform era of the Hawke and Keating governments ñ sectors like education and health, which are largely delivered within the domestic economy.",1
81,81,63320_201008_81,Australian Baccalaureate.,,,1.0,"The sectors in the economy that need renewal and reform are the services that were relatively untouched by the big economic reform era of the Hawke and Keating governments ñ sectors like education and health, which are largely delivered within the domestic economy. The education and health sectors include schools, universities, hospitals and aged care facilities ñ with a diverse range of providers from the public, private and non-government sectors, and services where competition and value are often held back by jurisdictional red tape and the lack of seamless national markets.",1
82,82,63320_201008_82,A world class qualification for a world class education.,506,,,"The education and health sectors include schools, universities, hospitals and aged care facilities ñ with a diverse range of providers from the public, private and non-government sectors, and services where competition and value are often held back by jurisdictional red tape and the lack of seamless national markets. Australian Baccalaureate.",2
83,83,63320_201008_83,"The Gillard Labor Government will develop a new senior qualification, the Australian Baccalaureate.",506,,,Australian Baccalaureate. A world class qualification for a world class education.,2
84,84,63320_201008_84,"The Australian Baccalaureate will be a new voluntary qualification that provides senior students with access to a credential of international standing ñ similar to national certificates like the British ‚ÄòA' Levels and French Baccalaureate, the German and Finnish Arbitur, and the certificates of Australia's regional neighbours.",506,,,"A world class qualification for a world class education. The Gillard Labor Government will develop a new senior qualification, the Australian Baccalaureate.",1
85,85,63320_201008_85,The Australian Baccalaureate will sit alongside existing senior secondary school qualifications as a voluntary credential that will build off the National Curriculum.,506,,,"The Gillard Labor Government will develop a new senior qualification, the Australian Baccalaureate. The Australian Baccalaureate will be a new voluntary qualification that provides senior students with access to a credential of international standing ñ similar to national certificates like the British ‚ÄòA' Levels and French Baccalaureate, the German and Finnish Arbitur, and the certificates of Australia's regional neighbours.",1
86,86,63320_201008_86,"The introduction of the Australian Baccalaureate would naturally follow the implementation of the phase one Australian Curriculum subjects in the senior secondary years, expected to follow on from the first substantial cohort of Australian students commencing National Curriculum courses in 2015 or 2016, and would potentially recognise both traditional academic and vocational education and training courses.",506,,,"The Australian Baccalaureate will be a new voluntary qualification that provides senior students with access to a credential of international standing ñ similar to national certificates like the British ‚ÄòA' Levels and French Baccalaureate, the German and Finnish Arbitur, and the certificates of Australia's regional neighbours. The Australian Baccalaureate will sit alongside existing senior secondary school qualifications as a voluntary credential that will build off the National Curriculum.",1
87,87,63320_201008_87,School Reform.,,,1.0,"The Australian Baccalaureate will sit alongside existing senior secondary school qualifications as a voluntary credential that will build off the National Curriculum. The introduction of the Australian Baccalaureate would naturally follow the implementation of the phase one Australian Curriculum subjects in the senior secondary years, expected to follow on from the first substantial cohort of Australian students commencing National Curriculum courses in 2015 or 2016, and would potentially recognise both traditional academic and vocational education and training courses.",1
88,88,63320_201008_88,"The Gillard Labor Government's vision is to make every school a great school ñ because in the 21st century, a great school and a great education are the keys that unlock an individual's potential and the nation's future.",506,,,"The introduction of the Australian Baccalaureate would naturally follow the implementation of the phase one Australian Curriculum subjects in the senior secondary years, expected to follow on from the first substantial cohort of Australian students commencing National Curriculum courses in 2015 or 2016, and would potentially recognise both traditional academic and vocational education and training courses. School Reform.",1
89,89,63320_201008_89,"Only with world class schools can we build a high-productivity, high-participation economy that gives all Australians the opportunity of rewarding and satisfying work.",506,,,"School Reform. The Gillard Labor Government's vision is to make every school a great school ñ because in the 21st century, a great school and a great education are the keys that unlock an individual's potential and the nation's future.",1
90,90,63320_201008_90,"In government, Labor is delivering ambitious reforms that are already changing Australia's schools ñ achieving more for our schools in less than three years than the Coalition delivered in almost 12.",506,,,"The Gillard Labor Government's vision is to make every school a great school ñ because in the 21st century, a great school and a great education are the keys that unlock an individual's potential and the nation's future. Only with world class schools can we build a high-productivity, high-participation economy that gives all Australians the opportunity of rewarding and satisfying work.",1
91,91,63320_201008_91,"The Government is making major investments to reverse the under-funding that has held our schools back for too long ñ doubling the funding for Australian schools, because we know that no other investment will generate the enduring, long-term returns like our investment in our human capital.",506,,,"Only with world class schools can we build a high-productivity, high-participation economy that gives all Australians the opportunity of rewarding and satisfying work. In government, Labor is delivering ambitious reforms that are already changing Australia's schools ñ achieving more for our schools in less than three years than the Coalition delivered in almost 12.",6
92,92,63320_201008_92,Consider this: a child who is 5 years old today is likely to still be in the workforce through to the 2070s.,506,,,"In government, Labor is delivering ambitious reforms that are already changing Australia's schools ñ achieving more for our schools in less than three years than the Coalition delivered in almost 12. The Government is making major investments to reverse the under-funding that has held our schools back for too long ñ doubling the funding for Australian schools, because we know that no other investment will generate the enduring, long-term returns like our investment in our human capital.",1
93,93,63320_201008_93,The quality of their schooling now will make a difference to what they learn and whether they achieve their potential across the span of their working life.,506,,,"The Government is making major investments to reverse the under-funding that has held our schools back for too long ñ doubling the funding for Australian schools, because we know that no other investment will generate the enduring, long-term returns like our investment in our human capital. Consider this: a child who is 5 years old today is likely to still be in the workforce through to the 2070s.",1
94,94,63320_201008_94,"That means that the investment we make in great schools today will be paying dividends for most of the century ahead through higher participation, stronger productivity and increased economic growth.",506,,,Consider this: a child who is 5 years old today is likely to still be in the workforce through to the 2070s. The quality of their schooling now will make a difference to what they learn and whether they achieve their potential across the span of their working life.,1
95,95,63320_201008_95,That is why the Government has invested in modernising infrastructure with the Building the Education Revolution program and Trade Training Centres ñ together with our investments in improving teacher quality.,506,,,"The quality of their schooling now will make a difference to what they learn and whether they achieve their potential across the span of their working life. That means that the investment we make in great schools today will be paying dividends for most of the century ahead through higher participation, stronger productivity and increased economic growth.",6
