,Oid,Id,Sentence,Flag,labels
88,89,63320_198412_89,Reconstruction and growth.,1.0,1
89,90,63320_198412_90,"The task of building upon the strong foundation we have laid for national reconstruction requires first of all that the conditions which built national recovery continue: co-operative industrial relations, and fiscal and monetary policy designed to support gradual reductions in interest rates and strong economic growth without any resurgence of inflation.",,5
90,91,63320_198412_91,"We have established these conditions in the past twenty moths, and undertake to maintain them through the life of the next Parliament, and for as long as the Australian people continue to charge us with responsibility for national reconstruction.",,7
91,92,63320_198412_92,"And beyond the maintenance of these favourable general conditions, we will continue to work systematically on long-term structural reforms designed to raise the capacity for sustained growth: in trade; in education; in the effective use of technology; in business deregulation; in manufacturing and rural industry, transport and other key economic sectors and in taxation reform.",,4
92,93,63320_198412_93,The strengthening of Australia's capacity for sustained strong growth requires much greater export orientation of Australian industry.,,5
93,94,63320_198412_94,"This demands the continuation of our efforts to raise productivity and improve international competitiveness, as well as to pursue an active trade policy.",,3
94,95,63320_198412_95,"The destiny of the secure, dynamic, prosperous and fair society which we are building lies in the Asia-Pacific region, and especially the Western Pacific region.",,5
95,96,63320_198412_96,"The industrial transformation of Japan, the rapid industrialisation of Korea and most of ASEAN, and now the emergence of a major new participant in the international community of a dynamic China determined rapidly to modernise its economy, provide a great challenge and opportunity for Australia.",,1
96,97,63320_198412_97,Trade Policy.,1.0,1
97,98,63320_198412_98,"We are living through history's most dramatic reshaping of the world economy, as the centre of gravity of world economic life shifts to the West Pacific Region to which we belong.",1.0,1
98,99,63320_198412_99,"In the years ahead, we will continue to build on the constructive and close relations that we have established with the countries of ASEAN, with Japan and China, and with cur Southwest Pacific neighbours.",,6
99,100,63320_198412_100,We will continue to build an environment of confidence amongst governments and peoples within which productive interdependence can prosper.,,3
100,101,63320_198412_101,Australia must be more than a passive beneficiary of the growing East Asian demand for foodstuffs and raw materials.,,1
101,102,63320_198412_102,"Our resources and the talents of our people call for a new role: Australians as suppliers of advanced services, specialised technology, and manufactures embodying high skills, as well as the primary products which have been the traditional mainstays of our foreign trade.",,3
102,103,63320_198412_103,"The Department of Trade and an upgraded Trade Commissioner Service have been reoriented towards a targeted approach in key markets such as China, Japan, North America and the Middle East, including the provision of more effective support for exports of advanced services and manufactured goods.",1.0,1
103,104,63320_198412_104,"We will continue to defend strenuously Australia's interests in international forums against unfair and often subsidised competition in world markets, for our prospective exports of processed and manufactured goods as well as for our traditional agricultural exports.",,4
104,105,63320_198412_105,"The fruits of our continued efforts in trade policy will be harvested in their contribution to growth and reconstruction in Australia over the next three years, and beyond into the twenty-first century.",,3
105,106,63320_198412_106,The New Technology Challenge.,1.0,1
106,107,63320_198412_107,"National reconstruction and the enhancement of sustained growth will require heavy investment in education, training and retraining, and a redirection of our education effort to ensure that it prepares our young people better for productive and creative lives in a complex and rapidly changing modern world.",,5
107,108,63320_198412_108,"This concern for the quality and relevance of education has caused the Government to initiate inquiries into tertiary education through the Commonwealth Tertiary Education Commission, under its chairman, Hugh Hudson, and into secondary and primary education under the Vice-Chancellor of the Australian National University, Professor Peter Karmel.",,3
108,109,63320_198412_109,These reports will provide  the Government with a basis for ensuring that the substantially increased resources which we will make available to education at all levels are used in the most effective way in the years ahead.,,3
109,110,63320_198412_110,"To succeed in building a dynamic, prosperous and secure Australia it is essential that we have available and apply the world's best technology.",,3
110,111,63320_198412_111,The strengthening of technical and applied scientific education is essential to this end.,1.0,1
111,112,63320_198412_112,"Our pure scientific research effort has been at the forefront of the world, and we will continue to maintain the very large Australian Government effort in scientific research through our universities and C. S.I.R.O.",,5
112,113,63320_198412_113,But we have to recognise that our application of new technology to many areas of industry has lagged behind.,1.0,1
113,114,63320_198412_114,Sustained high growth in Australia will require greater and more systematic application of the best technology to all our industry.,1.0,1
114,115,63320_198412_115,"In recognition of this weakness in our national research and development effort, we have promoted a greatly increased flow of funds to enterprises applying new technology through the Management lnvestment Companies.",,3
115,116,63320_198412_116,Research Concession.,1.0,1
116,117,63320_198412_117,"To further encourage this effort, we intend to allow 150 percent of genuine expenditure within Australia on research and development to be deducted against income nor taxation purposes.",,7
117,118,63320_198412_118,This will mean that the effective cost of research and development to the investor will be only thirty-one percent of increased expenditure .,,1
118,119,63320_198412_119,"We expect this initiative to expand substantially the research and development effort within Australian business, and assist also in the revitalisation of the established research communities.",,1
119,120,63320_198412_120,"All research and development expenditure will qualify, unless it is within projects which already receive assistance under R & D Grant Schemes.",,1
120,121,63320_198412_121,Business Deregulation.,1.0,1
121,122,63320_198412_122,The reconstruction of Australia needs to systematic removal of unnecessary institutional and legal impediments to applying national resources to their most productive uses.,,1
122,123,63320_198412_123,"In consultation with the Business Council of Australia, the Confederation of Australian Industry, the Australian Council of Trade Unions, the National Farmers Federation, and the Australian Chamber of Commerce, we have begun to review the great volume of laws and regulations affecting business which have accumulated over the past eighty-four years of the Australian Federation.",,3
123,124,63320_198412_124,They fall with particular impact on small business.,,1
124,125,63320_198412_125,Our reforms in the financial sector illustrate our approach and demonstrate our commitment to the abandonment of unnecessary regulation.,,1
125,126,63320_198412_126,"Over the term of the next Parliament we will remove legislation and regulation which is damaging to business and employment expansion, and which is not justified as an efficient means of promoting economic and social objectives.",,6
126,127,63320_198412_127,National reconstruction requires us to go beyond these general improvements in the economic and business environment to specific approaches to key sectors of our economy.,1.0,1
127,128,63320_198412_128,Manufacturing Industry Policy.,1.0,1
128,129,63320_198412_129,It is an absolute condition of national reconstruction that our manufacturing sector- lacking direction and in decline for a decade before this Labor Government took office - be restored as a source of national growth.,,1
129,130,63320_198412_130,"We will continue to take action to strengthen manufacturing industry within the framework of consultative processes already created, involving manufacturers, unions and Government.",,6
130,131,63320_198412_131,"The Government has demonstrated in steel, motor vehicle and other industries that these processes can lead to policies and agreements which raise investment and productivity, and strengthen the industry's capacity to compete at home and abroad, consistently with the wider community's interest in quality products at more competitive prices.",,1
131,132,63320_198412_132,"The steel and motor vehicle plans have been characterised by a high degree of consultation and analysis involving government, unions and business; by emphasis on the need for investment, productivity growth and strengthened competitiveness directed at long-term employment security; by gradual change towards more productive industry; and by government assistance in forms which protect the interests of the wider Australian community.",,1
132,133,63320_198412_133,"In addition to these successful initiatives which have given new hope and life to major sectors of Australian manufacturing industry which for many years had been in great and increasing difficulty, the Labor Government has implemented major institutional reforms of general assistance to the manufacturing sector as a whole.",,3
133,134,63320_198412_134,The chief amongst these are the reconstruction of the Industries Assistance Commission and the Australian Industries Development Corporation and the Australian Manufacturing Council.,,1
134,135,63320_198412_135,We have honoured our pledge to save the Australian steel industry.,1.0,1
135,136,63320_198412_136,Now it has become a source of secure employment and of real strength for the Australian economy.,1.0,1
136,137,63320_198412_137,"At last manufacturing employment is growing again, contrasted with the massive decline over the previous ten years.",1.0,1
137,138,63320_198412_138,But the main task lies ahead.,1.0,1
138,139,63320_198412_139,"The Government will continue to treat industries on @ basis where, as with motor vehicles and steel, this approach seems likely to lead to adjustment to new conditions and growth.",,3
139,140,63320_198412_140,"The strategy will require the active promotion of re-investment in modern industry; encouragement to install the best technology to achieve competitive manufacturing units; and promotion of new and improved products from Australian industry, based on research and development which is more strongly oriented to industry.",,1
140,141,63320_198412_141,A task early in our second term will be the development of an effective approach to maintaining in Australia a strong and efficient heavy engineering industry.,,3
141,142,63320_198412_142,Defence Industry --- Submarines.,1.0,1
142,143,63320_198412_143,Our Government is determined that there shall be the maximum practicable involvement by Australian industry in defence equipment programs.,,1
143,144,63320_198412_144,"We will ensure that Australian industry shares to the maximum extent in the development, construction and maintenance of the new submarines to replace the Oberon class from the early 1990's.",,1
144,145,63320_198412_145,Rural Policy.,1.0,1
145,146,63320_198412_146,"In the task of national reconstruction it is crucial that our rural sector be recognised for the fundamental contribution it makes to our economy and to our society, and the major contribution it has made to our recovery since March 1983.",,1
146,147,63320_198412_147,"No Australian resource is more important than our land- our soils, water and vegetation.",1.0,1
147,148,63320_198412_148,No sector of Australian industry is more important than our primary industries --- still Australia's major source of export income.,1.0,1
148,149,63320_198412_149,The needs of the four and a half million people who live and work outside the major cities are at the forefront of the Government's concerns.,,1
149,150,63320_198412_150,"We recognise that distance in this vast country can create problems for country people and as we implement our policies during our second term in the field of health, education, transport and communications, the special needs of country people will have a high priority.",,1
150,151,63320_198412_151,We have introduced a National Soil Conservation Program to try to halt the massive degradation that threatens more than half our agricultural land.,,1
151,152,63320_198412_152,We have introduced fisheries  management programs to bring our fish stocks back from the brink of collapse.,,1
152,153,63320_198412_153,Over the next term we will continue to develop these programs.,,4
153,154,63320_198412_154,"I will give the details of Labor's rural policy at Armidale, New South Wales, on Sunday, 18 November.",1.0,1
154,155,63320_198412_155,Transport.,1.0,1
155,156,63320_198412_156,"To provide the fullest support for the national reconstruction effort, and to maximise our export opportunities, we need an efficient national transport system.",,1
156,157,63320_198412_157,To this end the Government has increased road construction and road safety programs in Australia by more than fifty percent.,,1
157,158,63320_198412_158,We will continue the greatest road-building and maintenance program in Australia's history.,,4
158,159,63320_198412_159,"Within the next three years, the national highway system will be brought to an all-weather, dust-free and flood-free standard.",,6
159,160,63320_198412_160,The Hume Highway will be completed as a four-lane and mostly dual carriageway from Sydney to Melbourne.,,1
160,161,63320_198412_161,The Bruce Highway will be transformed to give the growing cities Of North Queensland the genuine highway standard link they need and deserve.,,1
161,162,63320_198412_162,We have initiated the most comprehensive overhaul ever undertaken of Australia's national transport system.,,1
162,163,63320_198412_163,"We will continue this overhaul and, as a matter of priority, develop a cohesive Australian Land Transport Program, and give consideration to its financing by an indexed share of existing fuel excise, so as to provide continuity to our road building effort, and to include upgrading of our main land rail system as part of an industry restructuring package to be negotiated with rail unions and management.",,4
163,164,63320_198412_164,Tax reform.,1.0,1
164,165,63320_198412_165,A second major challenge for our next terns of office is reform and a complete overhaul of our tax system.,,1
165,166,63320_198412_166,That will be of fundamental importance to the task of national reconstruction.,,1
166,167,63320_198412_167,The tax cuts which are now being enjoyed are the first dividend of economic recovery and growth being paid to the ordinary taxpayers of Australia.,,1
167,168,63320_198412_168,Unlike the fraudulent cuts of 1977- the notorious fistful of dollars which were snatched back immediately after the election- I can guarantee you'll keep our tax cuts!,,1
168,169,63320_198412_169,"And unlike any previous tax cuts for more than a decade, their real value to the taxpayers of Australia will not be filched by the theft of double-digit inflation.",,1
169,170,63320_198412_170,"The tax cuts are the first element in our undertaking to achieve genuine tax reform, and to provide tax relief for the taxpayers, but particularly the middle and lows income earners - of Australia - the ordinary hard-working Australians who pay as they earn.",,1
170,171,63320_198412_171,"The second element is our continuing attack on the tax avoidance industry which, throughout the years of the previous Government, became Australia's fastest-growing industry.",,1
171,172,63320_198412_172,"Our capacity to smash the tax avoidance industry has been hampered by the Opposition which by obstructing legislation in the Senate to close notorious loopholes, has effectively cost the ordinary, honest taxpayers of Australia hundreds of millions of dollars.",,1
172,173,63320_198412_173,That is one of the reasons why we ask every Australian voter who supports our Government in its effort to smash the tax avoidance industry completely - as we are now well on the road towards doing- to ensure that our Government in the House of Representatives is supported by a majority in the Senate.,,1
173,174,63320_198412_174,"We will re-introduce the twice-rejected legislation and, with a Senate majority, we can complete our work of smashing the tax avoidance industry in Australia once and for all.",,5
174,175,63320_198412_175,The third element- a thoroughgoing review and reform of the entire tax system- will be central to al our tasks in our second term.,,1
175,176,63320_198412_176,"Our tax reform will be preceded by widespread community consultations, and will proceed on the basis on nine clear principles and objectives.",,5
176,177,63320_198412_177,The Government's nine principles of taxation reform are:  ,,1
177,178,63320_198412_178,"- First, there must be no increase in the overall tax burden, as measured by the share of Commonwealth Government revenue in gross domestic product.",,1
178,179,63320_198412_179,"-Second, any reform must continue the process already begun by this Government, and provide further major cuts in personal income tax.",,4
179,180,63320_198412_180,-Third taxation changes must contribute to smashing tax avoidance and evasion which remain as features of the tax system which the Government inherited.,,3
180,181,63320_198412_181,"-Fourth, any reform must lead to a simpler system which therefore all Australians can understand more easily, and which therefore makes tax avoidance and evasion more difficult.",,4
181,182,63320_198412_182,"-Fifth, any reform package must result in a tax system which is fairer, so that Australians are only required to pay tax according to their capacity to pay, and the overall system must be progressive.",,3
182,183,63320_198412_183,"- Sixth, any tax reform must not disadvantage recipients of welfare benefits, and should reduce or remove “poverty traps”.",,1
183,184,63320_198412_184,"-Seventh, if any reform package which includes changes in indirect taxes is contemplated, it must be acceptable to the various groups in the Australian community whose response will determine whether we can maintain moderation in wage movements.",,1
184,185,63320_198412_185,"-Eighth, any reform must provide the best possible climate for investment, growth and employment in Australia.",,1
185,186,63320_198412_186,"-Ninth, any reform package must have widespread community support, including support at a widely representative national tax Summit of economic organisations and community groups.",,1
186,187,63320_198412_187,We therefore propose to convene a widely representative National Tax Summit during the third quarter of 1985.,,1
187,188,63320_198412_188,And at that Summit we shall take specific steps to ensure that the citizens of Australia are directly represented in their role as taxpayers.,,1
188,189,63320_198412_189,"When at the last election I foreshadowed the National Economic Conference as the first step towards national reconciliation and recovery, there were those who said it wouldn't work, the scoffers who said it was an abdication of the role and responsibility of the Government.",,1
189,190,63320_198412_190,"I made it clear then, and I made it clear at the Summit itself, that there would be no abdication and that the elected Government would exercise in full measure its role and responsibility for the economic management and the economic decision-making of this country.",,1
190,191,63320_198412_191,"That of course is what we have done, and will continue to do.",,4
191,192,63320_198412_192,"The great and complex task of tax reform has been made immeasurably more difficult by the failures of thirty years of Coalition rule, the incompetence and excesses of their final seven years, and the present dominance of short-term political expediency in their contribution to the tax debate.",,1
192,193,63320_198412_193,I am confident that the task of tax reform will be advanced by bringing to it the concept of consultation and co-operation which has already produced such splendid results and such enduring benefits for the people of Australia.,,1
193,194,63320_198412_194,Towards a fairer Australia.,1.0,1
194,195,63320_198412_195,"The third great challenge for the Government during its second term - a challenge which is basic to the objectives of the Australian Labor Party and this Labor Government - is to maintain the momentum of our first term to create a fairer, more just, and more equitable society.",,1
195,196,63320_198412_196,"All Australians - whether as individuals, or as members of families - know that the Government's success since assuming office in achieving non-inflationary growth must continue if their best hopes for themselves, for their families, are to be met.",,4
196,197,63320_198412_197,There's nothing abstract about the welfare of the Australian family.,1.0,1
197,198,63320_198412_198,What concerns the ordinary Australian family is:  - that there should be jobs available now for parents and in the future for their children.,1.0,1
198,199,63320_198412_199,-that they can purchase their own home at a reasonable cost and not have to face crippling interest repayments.,1.0,1
199,200,63320_198412_200,-that their children can receive an education which equips them in the best possible ways for their lives ahead.,1.0,1
200,201,63320_198412_201,"- that they and their children have access to healthcare at reasonable cost; and that throughout their lives, but particularly in their old age, their income and savings are not eroded - by inflation.",1.0,1
201,202,63320_198412_202,"And above all, that every Australian family has the opportunity to maintain and improve its standard of living.",1.0,1
202,203,63320_198412_203,And that's where our efforts have been directed and will continue to be directed.,,7
203,204,63320_198412_204,"And our efforts to ensure that these aspirations of ordinary Australian families can be realised, will continue unremittingly during our second term.",,4
204,205,63320_198412_205,Child Care.,1.0,1
205,206,63320_198412_206,"In our first two Budgets, we have doubled the resources for child care services.",1.0,1
206,207,63320_198412_207,This is a commitment to benefit both women in the workforce and those who choose the home.,1.0,1
207,208,63320_198412_208,In our next term we will provide as a matter of high priority further substantial increases in the number of child care places.,,4
208,209,63320_198412_209,In the next three years we will create an additional 20000 places for child care.,,5
209,210,63320_198412_210,"There are two groups in our community who are particularly exposed at times of economic and social change, and for whom the Government has a special responsibility.",,1
210,211,63320_198412_211,"They are the young, on whose shoulders will rest the future or our nation; and the aged who have contributed so much to the nation that we have inherited.",,1
211,212,63320_198412_212,Schools.,1.0,1
212,213,63320_198412_213,The Government has already contributed in a number of significant ways to helping the young.,1.0,1
213,214,63320_198412_214,"In primary and secondary education we have both provided greater stability in funding, and substantial funding increases for Government and non-Government schools over the next eight years.",,1
214,215,63320_198412_215,We have ended the divisive and sterile State Aid debate which distracted attention from crucial education issues.,1.0,1
215,216,63320_198412_216,"Over the next eight year period  Government schools will receive a real increase of 49,3 percent and non-Government schools a real increase of 17,2 percent.",,7
216,217,63320_198412_217,"These funds will be used in the most effective way both to improve quality of education, and to provide incentives to remain in the education stream.",,3
217,218,63320_198412_218,Tertiary.,1.0,1
218,219,63320_198412_219,At the tertiary level the Government has also provided the first significant injection of additional resources for more than seven years.,,4
219,220,63320_198412_220,"As a result, at least 15000 more students will attend Universities and Colleges of Advanced Education by 1987, and a further 15000 full-time places will be created in Technical and Further Education institutions.",,2
220,221,63320_198412_221,Youth employment.,1.0,1
221,222,63320_198412_222,"The Government's concern for youth has extended well beyond formal education, and into its labour market and training programs.",1.0,1
222,223,63320_198412_223,"There has been an increase of 46 percent in the Community Youth Support Scheme, a program which the previous coalition Government sought to abolish.",1.0,1
223,224,63320_198412_224,The trade training program has increased by twenty-eight percent over the last Budget of the previous Government.,1.0,1
224,225,63320_198412_225,Our allocations for Youth Training Programs in each of our first two Budgets was around seventy-five percent higher than that provided by the previous coalition Government in 1982-83.,1.0,1
225,226,63320_198412_226,"As well, of course, our youth has benefited substantially from the Community Employment Program, which has been the Government's major initiative in providing worthwhile employment and other disadvantaged job seekers, who would not otherwise directly benefit from economic recovery.",1.0,1
226,227,63320_198412_227,The Government is concerned to ensure that our job creation programs give rise to the development of more permanent opportunities.,,1
227,228,63320_198412_228,Accordingly we will be establishing a New Enterprise Incentive Scheme on the pilot basis during 1984-85.,,6
228,229,63320_198412_229,This scheme will be implemented as a joint Federal/State program.,,3
