,oid,Id,sentence,Flag,context,party,year,incumbent,labels
30,30,63620_198010_30,The first challenge facing Government in the 80s is the pursuit of responsible economic management.,1,"And finally, in a world where there is conflict, division and illusion, we must guide Australia safely through the difficulties and the dangers. FIRST CHALLENGE: RESPONSIBLE ECONOMIC MANAGEMENT.",Liberal,1980,Liberal,1
31,31,63620_198010_31,Responsible economic management may sometimes sound far-away from our everyday lives.,1,FIRST CHALLENGE: RESPONSIBLE ECONOMIC MANAGEMENT. The first challenge facing Government in the 80s is the pursuit of responsible economic management.,Liberal,1980,Liberal,1
32,32,63620_198010_32,But responsible economic management has brought our inflation rate to: - much less than it was in 1975.,1,The first challenge facing Government in the 80s is the pursuit of responsible economic management. Responsible economic management may sometimes sound far-away from our everyday lives.,Liberal,1980,Liberal,1
33,33,63620_198010_33,- much less than the inflation rate of Britain.,1,Responsible economic management may sometimes sound far-away from our everyday lives. But responsible economic management has brought our inflation rate to: - much less than it was in 1975.,Liberal,1980,Liberal,1
34,34,63620_198010_34,- below that of the United States.,1,But responsible economic management has brought our inflation rate to: - much less than it was in 1975. - much less than the inflation rate of Britain.,Liberal,1980,Liberal,1
35,35,63620_198010_35,- And below the average of advanced industrialised countries.,1,- much less than the inflation rate of Britain. - below that of the United States.,Liberal,1980,Liberal,1
36,36,63620_198010_36,But there is more to be done.,1,- below that of the United States. - And below the average of advanced industrialised countries.,Liberal,1980,Liberal,1
37,37,63620_198010_37,Continued economic responsibility demands restraint in Government expenditure.,1,- And below the average of advanced industrialised countries. But there is more to be done.,Liberal,1980,Liberal,1
38,38,63620_198010_38,"And last year, we achieved the largest ever recorded reduction in the Budget deficit - $1.5 billion.",1,But there is more to be done. Continued economic responsibility demands restraint in Government expenditure.,Liberal,1980,Liberal,1
39,39,63620_198010_39,"And now, this financial year, the domestic deficit will be wiped out altogether.",1,"Continued economic responsibility demands restraint in Government expenditure. And last year, we achieved the largest ever recorded reduction in the Budget deficit - $1.5 billion.",Liberal,1980,Liberal,1
40,40,63620_198010_40,TAXATION.,1,"And last year, we achieved the largest ever recorded reduction in the Budget deficit - $1.5 billion. And now, this financial year, the domestic deficit will be wiped out altogether.",Liberal,1980,Liberal,1
41,41,63620_198010_41,We earlier committed ourselves to reform the tax scales.,1,"And now, this financial year, the domestic deficit will be wiped out altogether. TAXATION.",Liberal,1980,Liberal,1
42,42,63620_198010_42,We have fulfilled that commitment absolutely.,1,TAXATION. We earlier committed ourselves to reform the tax scales.,Liberal,1980,Liberal,1
43,43,63620_198010_43,"Under the Hayden/Labor scales: - from $7.000, you paid 35 cents in the dollar.",1,We earlier committed ourselves to reform the tax scales. We have fulfilled that commitment absolutely.,Liberal,1980,Liberal,1
44,44,63620_198010_44,"- from $10,000 you paid 45 cents in the dollar.",1,"We have fulfilled that commitment absolutely. Under the Hayden/Labor scales: - from $7.000, you paid 35 cents in the dollar.",Liberal,1980,Liberal,1
45,45,63620_198010_45,"- from $15,000 you paid 55 cents in the dollar.",1,"Under the Hayden/Labor scales: - from $7.000, you paid 35 cents in the dollar. - from $10,000 you paid 45 cents in the dollar.",Liberal,1980,Liberal,1
46,46,63620_198010_46,"Under our scales, you are on the standard rate of 32 cents in the dollar, right up to $17.239.",1,"- from $10,000 you paid 45 cents in the dollar. - from $15,000 you paid 55 cents in the dollar.",Liberal,1980,Liberal,1
47,47,63620_198010_47,"And on the first of July this year, taxes were cut by over $600 million - of particular benefit to single income families.",1,"- from $15,000 you paid 55 cents in the dollar. Under our scales, you are on the standard rate of 32 cents in the dollar, right up to $17.239.",Liberal,1980,Liberal,1
48,48,63620_198010_48,Under our present policy of half tax indexation there will be a further tax cut of around $ 500 million from July the first next year.,0,"Under our scales, you are on the standard rate of 32 cents in the dollar, right up to $17.239. And on the first of July this year, taxes were cut by over $600 million - of particular benefit to single income families.",Liberal,1980,Liberal,7
49,49,63620_198010_49,"Of course, we would have preferred to go further.",0,"And on the first of July this year, taxes were cut by over $600 million - of particular benefit to single income families. Under our present policy of half tax indexation there will be a further tax cut of around $ 500 million from July the first next year.",Liberal,1980,Liberal,1
50,50,63620_198010_50,But any tax cut purchased at the cost of higher inflation would be no tax cut at all And we will continue to fight inflation.,0,"Under our present policy of half tax indexation there will be a further tax cut of around $ 500 million from July the first next year. Of course, we would have preferred to go further.",Liberal,1980,Liberal,1
51,51,63620_198010_51,"No wonder British investors recently said that their confidence in the Australian economy was ""Conditional upon the continuation of a Liberal Government.""",1,"Of course, we would have preferred to go further. But any tax cut purchased at the cost of higher inflation would be no tax cut at all And we will continue to fight inflation.",Liberal,1980,Liberal,1
52,52,63620_198010_52,And we plan to keep it that way.,1,"But any tax cut purchased at the cost of higher inflation would be no tax cut at all And we will continue to fight inflation. No wonder British investors recently said that their confidence in the Australian economy was ""Conditional upon the continuation of a Liberal Government.""",Liberal,1980,Liberal,1
53,53,63620_198010_53,SECOND CHALLENGE: DEVELOPMENT.,1,"No wonder British investors recently said that their confidence in the Australian economy was ""Conditional upon the continuation of a Liberal Government."" And we plan to keep it that way.",Liberal,1980,Liberal,1
54,54,63620_198010_54,And so I come to the second challenge - the need for a broad based and responsible programme of national development.,1,And we plan to keep it that way. SECOND CHALLENGE: DEVELOPMENT.,Liberal,1980,Liberal,1
55,55,63620_198010_55,"In my Policy Speech in 1977, I said Australia could look forward to $6000 million of development.",1,SECOND CHALLENGE: DEVELOPMENT. And so I come to the second challenge - the need for a broad based and responsible programme of national development.,Liberal,1980,Liberal,1
56,56,63620_198010_56,Some amazement was expressed at this even disbelief.,1,"And so I come to the second challenge - the need for a broad based and responsible programme of national development. In my Policy Speech in 1977, I said Australia could look forward to $6000 million of development.",Liberal,1980,Liberal,1
57,57,63620_198010_57,Because the Labor Party had stopped development dead in its tracks,1,"In my Policy Speech in 1977, I said Australia could look forward to $6000 million of development. Some amazement was expressed at this even disbelief.",Liberal,1980,Liberal,1
58,58,63620_198010_58,"Yet in the two years after that, more than $6000 million was invested in mining and manufacturing.",1,Some amazement was expressed at this even disbelief. Because the Labor Party had stopped development dead in its tracks,Liberal,1980,Liberal,1
59,59,63620_198010_59,"And now, prospective investment is $29000 million.",0,"Because the Labor Party had stopped development dead in its tracks Yet in the two years after that, more than $6000 million was invested in mining and manufacturing.",Liberal,1980,Liberal,5
60,60,63620_198010_60,This development promises to be as important to Australia and individual Australians as anything in the last 35 years.,1,"Yet in the two years after that, more than $6000 million was invested in mining and manufacturing. And now, prospective investment is $29000 million.",Liberal,1980,Liberal,1
61,61,63620_198010_61,"Already, new aluminium smelters and mines are being established in Australia along with the associated new towns, railways, roads and port facilities.",1,"And now, prospective investment is $29000 million. This development promises to be as important to Australia and individual Australians as anything in the last 35 years.",Liberal,1980,Liberal,1
62,62,63620_198010_62,The benefits of this will be felt nation-wide.,1,"This development promises to be as important to Australia and individual Australians as anything in the last 35 years. Already, new aluminium smelters and mines are being established in Australia along with the associated new towns, railways, roads and port facilities.",Liberal,1980,Liberal,1
63,63,63620_198010_63,We are not talking about development just for development's sake.,1,"Already, new aluminium smelters and mines are being established in Australia along with the associated new towns, railways, roads and port facilities. The benefits of this will be felt nation-wide.",Liberal,1980,Liberal,1
64,64,63620_198010_64,"We are talking about development because of what it means to people: - and it means jobs, prosperity and security for Australian working men and women.",1,The benefits of this will be felt nation-wide. We are not talking about development just for development's sake.,Liberal,1980,Liberal,1
65,65,63620_198010_65,"To achieve all this, we have had to trim our sails once or twice.",1,"We are not talking about development just for development's sake. We are talking about development because of what it means to people: - and it means jobs, prosperity and security for Australian working men and women.",Liberal,1980,Liberal,1
66,66,63620_198010_66,For the world is a harsher place than anyone expected five years ago.,1,"We are talking about development because of what it means to people: - and it means jobs, prosperity and security for Australian working men and women. To achieve all this, we have had to trim our sails once or twice.",Liberal,1980,Liberal,1
67,67,63620_198010_67,"But responsible management means placing Australia first; not once, or twice, but always.",0,"To achieve all this, we have had to trim our sails once or twice. For the world is a harsher place than anyone expected five years ago.",Liberal,1980,Liberal,1
68,68,63620_198010_68,UNIONS.,1,"For the world is a harsher place than anyone expected five years ago. But responsible management means placing Australia first; not once, or twice, but always.",Liberal,1980,Liberal,1
69,69,63620_198010_69,"Placing Australia first is the responsibility of management, labour and trade unions just as much as it is of Government.",0,"But responsible management means placing Australia first; not once, or twice, but always. UNIONS.",Liberal,1980,Liberal,3
70,70,63620_198010_70,"Responsibility to Australia means: - achieving greater rank and file influence within unions and - giving rank and file trade unionists, confronted with the demand to join a strike, the option of a secret ballot.",0,"UNIONS. Placing Australia first is the responsibility of management, labour and trade unions just as much as it is of Government.",Liberal,1980,Liberal,1
71,71,63620_198010_71,"But, above all, it means: - rejection of 35 hour weeks.",0,"Placing Australia first is the responsibility of management, labour and trade unions just as much as it is of Government. Responsibility to Australia means: - achieving greater rank and file influence within unions and - giving rank and file trade unionists, confronted with the demand to join a strike, the option of a secret ballot.",Liberal,1980,Liberal,1
72,72,63620_198010_72,"- rejection of unrealistic wage claims, And - rejection of extremist union leaders.",0,"Responsibility to Australia means: - achieving greater rank and file influence within unions and - giving rank and file trade unionists, confronted with the demand to join a strike, the option of a secret ballot. But, above all, it means: - rejection of 35 hour weeks.",Liberal,1980,Liberal,1
73,73,63620_198010_73,And that rejection is the duty of us all.,0,"But, above all, it means: - rejection of 35 hour weeks. - rejection of unrealistic wage claims, And - rejection of extremist union leaders.",Liberal,1980,Liberal,1
74,74,63620_198010_74,Let me give you another measure of what is happening in Australia.,1,"- rejection of unrealistic wage claims, And - rejection of extremist union leaders. And that rejection is the duty of us all.",Liberal,1980,Liberal,1
75,75,63620_198010_75,The increase in electricity generation through the 80s will be almost equal to that which occurred over the last thirty years.,1,And that rejection is the duty of us all. Let me give you another measure of what is happening in Australia.,Liberal,1980,Liberal,1
76,76,63620_198010_76,We are going to do in ten years what previous generations took thirty years to accomplish.,0,Let me give you another measure of what is happening in Australia. The increase in electricity generation through the 80s will be almost equal to that which occurred over the last thirty years.,Liberal,1980,Liberal,3
77,77,63620_198010_77,Modern new industries are coming on stream with modern plant and equipment involving the most advanced technology.,1,The increase in electricity generation through the 80s will be almost equal to that which occurred over the last thirty years. We are going to do in ten years what previous generations took thirty years to accomplish.,Liberal,1980,Liberal,1
78,78,63620_198010_78,These new developments will give Australia in the 80s a much stronger international base.,0,We are going to do in ten years what previous generations took thirty years to accomplish. Modern new industries are coming on stream with modern plant and equipment involving the most advanced technology.,Liberal,1980,Liberal,6
79,79,63620_198010_79,New markets are opening up for Australian industries.,1,Modern new industries are coming on stream with modern plant and equipment involving the most advanced technology. These new developments will give Australia in the 80s a much stronger international base.,Liberal,1980,Liberal,1
80,80,63620_198010_80,None of this has happened by accident.,1,These new developments will give Australia in the 80s a much stronger international base. New markets are opening up for Australian industries.,Liberal,1980,Liberal,1
81,81,63620_198010_81,We have introduced: - firm anti-inflationary policies.,1,New markets are opening up for Australian industries. None of this has happened by accident.,Liberal,1980,Liberal,1
82,82,63620_198010_82,- policies which encourage And support new Australian initiatives.,1,None of this has happened by accident. We have introduced: - firm anti-inflationary policies.,Liberal,1980,Liberal,1
83,83,63620_198010_83,"- policies which reflect A responsible And reasonable attitude to overseas investment, And - policies which protect the Australian environment.",1,We have introduced: - firm anti-inflationary policies. - policies which encourage And support new Australian initiatives.,Liberal,1980,Liberal,1
84,84,63620_198010_84,What is happening is the result of our policies.,1,"- policies which encourage And support new Australian initiatives. - policies which reflect A responsible And reasonable attitude to overseas investment, And - policies which protect the Australian environment.",Liberal,1980,Liberal,1
85,85,63620_198010_85,PARITY PRICING.,1,"- policies which reflect A responsible And reasonable attitude to overseas investment, And - policies which protect the Australian environment. What is happening is the result of Our policies.",Liberal,1980,Liberal,1
86,86,63620_198010_86,And our oil parity pricing policy is an important part of the overall plan.,1,What is happening is the result of our policies. PARITY PRICING.,Liberal,1980,Liberal,1
87,87,63620_198010_87,We want Australia to be as energy self-sufficient as possible in future years.,0,PARITY PRICING. And our oil parity pricing policy is an important part of the overall plan.,Liberal,1980,Liberal,3
88,88,63620_198010_88,We do not want Australia to be a beggar for fuel on the international market.,0,And our oil parity pricing policy is an important part of the overall plan. We want Australia to be as energy self-sufficient as possible in future years.,Liberal,1980,Liberal,1
89,89,63620_198010_89,We want to attract investment in alternatives to oil.,0,We want Australia to be as energy self-sufficient as possible in future years. We do not want Australia to be a beggar for fuel on the international market.,Liberal,1980,Liberal,1
90,90,63620_198010_90,And we are succeeding.,0,We do not want Australia to be a beggar for fuel on the international market. We want to attract investment in alternatives to oil.,Liberal,1980,Liberal,1
91,91,63620_198010_91,"The giant Rundle shale oil project in Queensland is likely to be the largest ever undertaken in Australia, and one of the largest in the world.",1,We want to attract investment in alternatives to oil. And we are succeeding.,Liberal,1980,Liberal,1
92,92,63620_198010_92,That would not have occurred without parity pricing.,1,"And we are succeeding. The giant Rundle shale oil project in Queensland is likely to be the largest ever undertaken in Australia, and one of the largest in the world.",Liberal,1980,Liberal,1
93,93,63620_198010_93,We are not just concerned for next year or the year after.,1,"The giant Rundle shale oil project in Queensland is likely to be the largest ever undertaken in Australia, and one of the largest in the world. That would not have occurred without parity pricing.",Liberal,1980,Liberal,1
94,94,63620_198010_94,We are building Australia for the next decade and beyond.,0,That would not have occurred without parity pricing. We are not just concerned for next year or the year after.,Liberal,1980,Liberal,3
95,95,63620_198010_95,"To do otherwise, would be a betrayal of you and your children.",1,We are not just concerned for next year or the year after. We are building Australia for the next decade and beyond.,Liberal,1980,Liberal,1
96,96,63620_198010_96,"Against the dangers and the difficulties of the current war in Iran and Iraq, does anyone dare tell us that we should alter our policies?",1,"We are building Australia for the next decade and beyond. To do otherwise, would be a betrayal of you and your children.",Liberal,1980,Liberal,1
97,97,63620_198010_97,OIL REVENUE.,1,"To do otherwise, would be a betrayal of you and your children. Against the dangers and the difficulties of the current war in Iran and Iraq, does anyone dare tell us that we should alter our policies?",Liberal,1980,Liberal,1
98,98,63620_198010_98,It is fair enough to ask where the oil revenues are going.,1,"Against the dangers and the difficulties of the current war in Iran and Iraq, does anyone dare tell us that we should alter our policies? OIL REVENUE.",Liberal,1980,Liberal,1
99,99,63620_198010_99,Every cent is being returned to Australians.,0,OIL REVENUE. It is fair enough to ask where the oil revenues are going.,Liberal,1980,Liberal,1
100,100,63620_198010_100,"For example, this year: - more than $600 million in tax cuts.",0,It is fair enough to ask where the oil revenues are going. Every cent is being returned to Australians.,Liberal,1980,Liberal,1
101,101,63620_198010_101,"- more than $500 million on defence, and - over $460 million to further reduce the Budget deficit.",0,"Every cent is being returned to Australians. For example, this year: - more than $600 million in tax cuts.",Liberal,1980,Liberal,7
102,102,63620_198010_102,The growth and confidence in Australian industry is broad based.,1,"For example, this year: - more than $600 million in tax cuts. - more than $500 million on defence, and - over $460 million to further reduce the Budget deficit.",Liberal,1980,Liberal,1
103,103,63620_198010_103,"Industries generally are looking to the future, encouraged by incentives for investment, for innovation, for research, and for export.",1,"- more than $500 million on defence, and - over $460 million to further reduce the Budget deficit. The growth and confidence in Australian industry is broad based.",Liberal,1980,Liberal,1
104,104,63620_198010_104,These policies will continue.,0,"The growth and confidence in Australian industry is broad based. Industries generally are looking to the future, encouraged by incentives for investment, for innovation, for research, and for export.",Liberal,1980,Liberal,1
105,105,63620_198010_105,SMALL BUSINESS.,1,"Industries generally are looking to the future, encouraged by incentives for investment, for innovation, for research, and for export. These policies will continue.",Liberal,1980,Liberal,1
106,106,63620_198010_106,The tax laws will be altered again to make it easier for small businesses to build up their reserves.,0,These policies will continue. SMALL BUSINESS.,Liberal,1980,Liberal,1
107,107,63620_198010_107,TOURISM.,1,SMALL BUSINESS. The tax laws will be altered again to make it easier for small businesses to build up their reserves.,Liberal,1980,Liberal,1
108,108,63620_198010_108,"We will provide additional incentives for the tourist industry; amongst these, many of our airports are being remodelled and rebuilt.",0,The tax laws will be altered again to make it easier for small businesses to build up their reserves. TOURISM.,Liberal,1980,Liberal,1
109,109,63620_198010_109,"We have built on our programmes for Tasmania; and with New Zealand approval, the Hobart to Christchurch air link will soon begin.",0,"TOURISM. We will provide additional incentives for the tourist industry; amongst these, many of our airports are being remodelled and rebuilt.",Liberal,1980,Liberal,1
110,110,63620_198010_110,And we have decided to proceed with the Alice Springs-Darwin railway.,0,"We will provide additional incentives for the tourist industry; amongst these, many of our airports are being remodelled and rebuilt. We have built on our programmes for Tasmania; and with New Zealand approval, the Hobart to Christchurch air link will soon begin.",Liberal,1980,Liberal,1
111,111,63620_198010_111,FARMERS.,1,"We have built on our programmes for Tasmania; and with New Zealand approval, the Hobart to Christchurch air link will soon begin. And we have decided to proceed with the Alice Springs-Darwin railway.",Liberal,1980,Liberal,1
112,112,63620_198010_112,"Five years ago, it was an unhappy business travelling around the Australian countryside",1,And we have decided to proceed with the Alice Springs-Darwin railway. FARMERS.,Liberal,1980,Liberal,1
113,113,63620_198010_113,"Many farmers were bankrupt, prices had collapsed.",1,"FARMERS. Five years ago, it was an unhappy business travelling around the Australian countryside",Liberal,1980,Liberal,1
114,114,63620_198010_114,"Farmers did not know whether to encourage their sons to stay on the land, or to desert their farms.",1,"Five years ago, it was an unhappy business travelling around the Australian countryside Many farmers were bankrupt, prices had collapsed.",Liberal,1980,Liberal,1
115,115,63620_198010_115,"Now, all that has changed.",1,"Many farmers were bankrupt, prices had collapsed. Farmers did not know whether to encourage their sons to stay on the land, or to desert their farms.",Liberal,1980,Liberal,1
116,116,63620_198010_116,Our rural industries are doing much better.,1,"Farmers did not know whether to encourage their sons to stay on the land, or to desert their farms. Now, all that has changed.",Liberal,1980,Liberal,1
117,117,63620_198010_117,Our fight against inflation; our policies in support of rural industries; our effective trade offensive overseas; these have played a major role in rural recovery.,1,"Now, all that has changed. Our rural industries are doing much better.",Liberal,1980,Liberal,1
118,118,63620_198010_118,We understand rural industries.,0,Our rural industries are doing much better. Our fight against inflation; our policies in support of rural industries; our effective trade offensive overseas; these have played a major role in rural recovery.,Liberal,1980,Liberal,1
119,119,63620_198010_119,We assist them through troubled years and variable prices.,1,Our fight against inflation; our policies in support of rural industries; our effective trade offensive overseas; these have played a major role in rural recovery. We understand rural industries.,Liberal,1980,Liberal,1
120,120,63620_198010_120,And new initiatives will be taken in the coming Parliament.,0,We understand rural industries. We assist them through troubled years and variable prices.,Liberal,1980,Liberal,2
121,121,63620_198010_121,DROUGHT.,1,We assist them through troubled years and variable prices. And new initiatives will be taken in the coming Parliament.,Liberal,1980,Liberal,1
122,122,63620_198010_122,"I know that, as I speak tonight, there is severe drought in many parts of Australia.",1,And new initiatives will be taken in the coming Parliament. DROUGHT.,Liberal,1980,Liberal,1
123,123,63620_198010_123,We will continue to co-operate with the States to see if there is more we can do to assist.,0,"DROUGHT. I know that, as I speak tonight, there is severe drought in many parts of Australia.",Liberal,1980,Liberal,1
124,124,63620_198010_124,LABOR TAXES.,1,"I know that, as I speak tonight, there is severe drought in many parts of Australia. We will continue to co-operate with the States to see if there is more we can do to assist.",Liberal,1980,Liberal,1
125,125,63620_198010_125,Would anyone exchange our programmes of assistance for the threat of Labor's death duties?,1,We will continue to co-operate with the States to see if there is more we can do to assist. LABOR TAXES.,Liberal,1980,Liberal,1
126,126,63620_198010_126,Would anyone exchange our current industrial and rural strength for the certainty of Labor's wealth tax?,1,LABOR TAXES. Would anyone exchange our programmes of assistance for the threat of Labor's death duties?,Liberal,1980,Liberal,1
127,127,63620_198010_127,Would anyone trade their present position for the policies of the Whitlam years and the introduction of a capital gains tax?,1,Would anyone exchange our programmes of assistance for the threat of Labor's death duties? Would anyone exchange our current industrial and rural strength for the certainty of Labor's wealth tax?,Liberal,1980,Liberal,1
128,128,63620_198010_128,EMPLOYMENT.,1,Would anyone exchange our current industrial and rural strength for the certainty of Labor's wealth tax? Would anyone trade their present position for the policies of the Whitlam years and the introduction of a capital gains tax?,Liberal,1980,Liberal,1
129,129,63620_198010_129,"As a result of rural recovery, last year, for the first time in 30 years, farm employment grew.",1,Would anyone trade their present position for the policies of the Whitlam years and the introduction of a capital gains tax? EMPLOYMENT.,Liberal,1980,Liberal,1
130,130,63620_198010_130,"Indeed, in the 12 months to August this year, total employment in Australia grew by over 200000.",1,"EMPLOYMENT. As a result of rural recovery, last year, for the first time in 30 years, farm employment grew.",Liberal,1980,Liberal,1
131,131,63620_198010_131,What are the Labor Party doing?,1,"As a result of rural recovery, last year, for the first time in 30 years, farm employment grew. Indeed, in the 12 months to August this year, total employment in Australia grew by over 200000.",Liberal,1980,Liberal,1
132,132,63620_198010_132,They are promising to provide half that number of jobs - but they are going to charge you a thousand million dollars to do it,1,"Indeed, in the 12 months to August this year, total employment in Australia grew by over 200000. What are the Labor Party doing?",Liberal,1980,Liberal,1
133,133,63620_198010_133,Our dedication to strengthening the economy is the only way to create more jobs.,1,What are the Labor Party doing? They are promising to provide half that number of jobs - but they are going to charge you a thousand million dollars to do it,Liberal,1980,Liberal,1
134,134,63620_198010_134,I know it is difficult for some people who leave school.,1,They are promising to provide half that number of jobs - but they are going to charge you a thousand million dollars to do it Our dedication to strengthening the economy is the only way to create more jobs.,Liberal,1980,Liberal,1
135,135,63620_198010_135,Some move smoothly into a job; others have difficulty.,1,Our dedication to strengthening the economy is the only way to create more jobs. I know it is difficult for some people who leave school.,Liberal,1980,Liberal,1
136,136,63620_198010_136,"Because of this, we have established a range of manpower and training programmes to improve the skills, the versatility and the mobility of those looking for work.",0,I know it is difficult for some people who leave school. Some move smoothly into a job; others have difficulty.,Liberal,1980,Liberal,1
137,137,63620_198010_137,These programmes will benefit this year more than 236000 Australians.,0,"Some move smoothly into a job; others have difficulty. Because of this, we have established a range of manpower and training programmes to improve the skills, the versatility and the mobility of those looking for work.",Liberal,1980,Liberal,5
138,138,63620_198010_138,"And last year, the number of apprentices in training was an all-time record of 136000.",1,"Because of this, we have established a range of manpower and training programmes to improve the skills, the versatility and the mobility of those looking for work. These programmes will benefit this year more than 236000 Australians.",Liberal,1980,Liberal,1
