,oid,Id,sentence,Flag,Context,labels
35,35,63620_201309_35,Your opinion counts.,1.0,"We will offer every Australian Hope, Reward and Opportunity. We've been listening.",1
36,36,63620_201309_36,"That's why the Coalition Team has travelled all over Australia listening and talking with people about their lives, their jobs and their hopes for their children and our country.",1.0,We've been listening. Your opinion counts.,1
37,37,63620_201309_37,Australians have told us of their growing concerns.,1.0,"Your opinion counts. That's why the Coalition Team has travelled all over Australia listening and talking with people about their lives, their jobs and their hopes for their children and our country.",1
38,38,63620_201309_38,Concerns about increasing pressures on family budgets and the huge rise in the cost-of-living ñ especially rapidly rising electricity and gas prices.,1.0,"That's why the Coalition Team has travelled all over Australia listening and talking with people about their lives, their jobs and their hopes for their children and our country. Australians have told us of their growing concerns.",1
39,39,63620_201309_39,Concerns about poor superannuation returns and being able to afford a secure retirement.,1.0,Australians have told us of their growing concerns. Concerns about increasing pressures on family budgets and the huge rise in the cost-of-living ñ especially rapidly rising electricity and gas prices.,1
40,40,63620_201309_40,Concerns about leaving the next generation worse off and unfairly burdening their children's and grandchildren's future with higher taxes and debt.,1.0,Concerns about increasing pressures on family budgets and the huge rise in the cost-of-living ñ especially rapidly rising electricity and gas prices. Concerns about poor superannuation returns and being able to afford a secure retirement.,1
41,41,63620_201309_41,Concerns about the lack of modern infrastructure and the bottlenecks on our gridlocked roads.,1.0,Concerns about poor superannuation returns and being able to afford a secure retirement. Concerns about leaving the next generation worse off and unfairly burdening their children's and grandchildren's future with higher taxes and debt.,1
42,42,63620_201309_42,"Concerns about job security, youth unemployment and the slowing economy.",1.0,Concerns about leaving the next generation worse off and unfairly burdening their children's and grandchildren's future with higher taxes and debt. Concerns about the lack of modern infrastructure and the bottlenecks on our gridlocked roads.,1
43,43,63620_201309_43,"Concerns about tax increases, government waste and government debt",1.0,"Concerns about the lack of modern infrastructure and the bottlenecks on our gridlocked roads. Concerns about job security, youth unemployment and the slowing economy.",1
44,44,63620_201309_44,Concerns about increasing numbers of illegal boat arrivals and the huge blow-out in taxpayer costs.,1.0,"Concerns about job security, youth unemployment and the slowing economy. Concerns about tax increases, government waste and government debt",1
45,45,63620_201309_45,We've been listening to small business.,1.0,"Concerns about tax increases, government waste and government debt Concerns about increasing numbers of illegal boat arrivals and the huge blow-out in taxpayer costs.",1
46,46,63620_201309_46,Small business people have told us of their growing concerns.,1.0,Concerns about increasing numbers of illegal boat arrivals and the huge blow-out in taxpayer costs. We've been listening to small business.,1
47,47,63620_201309_47,Concerns about the government not understanding the needs of small business and how the government is increasing the burdens on business.,1.0,We've been listening to small business. Small business people have told us of their growing concerns.,1
48,48,63620_201309_48,Concerns about rapidly rising business costs and taxes ñ especially rising electricity and gas prices caused by the carbon tax.,1.0,Small business people have told us of their growing concerns. Concerns about the government not understanding the needs of small business and how the government is increasing the burdens on business.,1
49,49,63620_201309_49,Concerns about increasing levels of red tape and paperwork and increasing levels of bureaucratic over-regulation.,1.0,Concerns about the government not understanding the needs of small business and how the government is increasing the burdens on business. Concerns about rapidly rising business costs and taxes ñ especially rising electricity and gas prices caused by the carbon tax.,1
50,50,63620_201309_50,Concerns about workplace productivity problems.,1.0,Concerns about rapidly rising business costs and taxes ñ especially rising electricity and gas prices caused by the carbon tax. Concerns about increasing levels of red tape and paperwork and increasing levels of bureaucratic over-regulation.,1
51,51,63620_201309_51,Concerns about the economy and the impact of the high Australian dollar on their businesses.,1.0,Concerns about increasing levels of red tape and paperwork and increasing levels of bureaucratic over-regulation. Concerns about workplace productivity problems.,1
52,52,63620_201309_52,Concerns about whether they can afford to hire people because of increasing union militancy and the growing uncertainty this creates for businesses.,1.0,Concerns about workplace productivity problems. Concerns about the economy and the impact of the high Australian dollar on their businesses.,1
53,53,63620_201309_53,We've been consulting with the experts,1.0,Concerns about the economy and the impact of the high Australian dollar on their businesses. Concerns about whether they can afford to hire people because of increasing union militancy and the growing uncertainty this creates for businesses.,1
54,54,63620_201309_54,We have also been consulting widely with business and various experts about confronting the challenges facing Australia.,1.0,Concerns about whether they can afford to hire people because of increasing union militancy and the growing uncertainty this creates for businesses. We've been consulting with the experts,1
55,55,63620_201309_55,"For example: the need to foster productivity, competitiveness and growth if we are to lift Australians' living standards and what needs to be done to unleash Australia's real economic potential, particularly in the context of the great transformation currently occurring in the Asian region.",1.0,We've been consulting with the experts We have also been consulting widely with business and various experts about confronting the challenges facing Australia.,1
56,56,63620_201309_56,We have taken all these ideas into account in developing our plan for Australia's future.,1.0,"We have also been consulting widely with business and various experts about confronting the challenges facing Australia. For example: the need to foster productivity, competitiveness and growth if we are to lift Australians' living standards and what needs to be done to unleash Australia's real economic potential, particularly in the context of the great transformation currently occurring in the Asian region.",1
57,57,63620_201309_57,It's time to honestly face Australia's challenges.,1.0,"For example: the need to foster productivity, competitiveness and growth if we are to lift Australians' living standards and what needs to be done to unleash Australia's real economic potential, particularly in the context of the great transformation currently occurring in the Asian region. We have taken all these ideas into account in developing our plan for Australia's future.",1
58,58,63620_201309_58,Australia has come a long way but we must now honestly and seriously address the real challenges and issues confronting the nation particularly in this new debt challenged world.,,We have taken all these ideas into account in developing our plan for Australia's future. It's time to honestly face Australia's challenges.,1
59,59,63620_201309_59,We must be realistic and practical and we must adopt real solutions to these challenges.,,It's time to honestly face Australia's challenges. Australia has come a long way but we must now honestly and seriously address the real challenges and issues confronting the nation particularly in this new debt challenged world.,1
60,60,63620_201309_60,For example:,1.0,Australia has come a long way but we must now honestly and seriously address the real challenges and issues confronting the nation particularly in this new debt challenged world. We must be realistic and practical and we must adopt real solutions to these challenges.,1
61,61,63620_201309_61,we must start living within our means and start paying down government debt to protect ourselves against any future economic shocks and to avoid leaving a debt legacy to our children;,,We must be realistic and practical and we must adopt real solutions to these challenges. For example:,1
62,62,63620_201309_62,we must start addressing the unsustainable structural imbalances in our Budget and get the Budget back on track to strong and sustainable surpluses;,,For example: we must start living within our means and start paying down government debt to protect ourselves against any future economic shocks and to avoid leaving a debt legacy to our children;,1
63,63,63620_201309_63,we must free Australia from the shackles and burdens holding us back and unleash Australia's real economic potential so we can compete more effectively in Asia;,,we must start living within our means and start paying down government debt to protect ourselves against any future economic shocks and to avoid leaving a debt legacy to our children; we must start addressing the unsustainable structural imbalances in our Budget and get the Budget back on track to strong and sustainable surpluses;,1
64,64,63620_201309_64,"we must boost productivity growth to make Australia more competitive, productive and prosperous;",,we must start addressing the unsustainable structural imbalances in our Budget and get the Budget back on track to strong and sustainable surpluses; we must free Australia from the shackles and burdens holding us back and unleash Australia's real economic potential so we can compete more effectively in Asia;,1
65,65,63620_201309_65,"we must start building a more diverse, world-class economyña 5-Pillar economyñthat builds on our strengths as a nation and builds real prosperity for the future so that living standards improve, not fall, in the years ahead;",,"we must free Australia from the shackles and burdens holding us back and unleash Australia's real economic potential so we can compete more effectively in Asia; we must boost productivity growth to make Australia more competitive, productive and prosperous;",1
66,66,63620_201309_66,we must build more modern infrastructure suited to the21st Century;,,"we must boost productivity growth to make Australia more competitive, productive and prosperous; we must start building a more diverse, world-class economyña 5-Pillar economyñthat builds on our strengths as a nation and builds real prosperity for the future so that living standards improve, not fall, in the years ahead;",1
67,67,63620_201309_67,we must work more cooperatively with the States to improve education and health services at the local level;,,"we must start building a more diverse, world-class economyña 5-Pillar economyñthat builds on our strengths as a nation and builds real prosperity for the future so that living standards improve, not fall, in the years ahead; we must build more modern infrastructure suited to the21st Century;",1
68,68,63620_201309_68,we must reduce cost-of-living pressures on families;,,we must build more modern infrastructure suited to the21st Century; we must work more cooperatively with the States to improve education and health services at the local level;,1
69,69,63620_201309_69,we must secure our bordersñwhere the boats are stopped; and,,we must work more cooperatively with the States to improve education and health services at the local level; we must reduce cost-of-living pressures on families;,1
70,70,63620_201309_70,"we must rebuild our weakened defence force and we must make the nation stronger, not weaker.",,we must reduce cost-of-living pressures on families; we must secure our bordersñwhere the boats are stopped; and,1
71,71,63620_201309_71,This forthcoming election is the most important in decades.,1.0,"we must secure our bordersñwhere the boats are stopped; and we must rebuild our weakened defence force and we must make the nation stronger, not weaker.",1
72,72,63620_201309_72,At this election the Australian people will face one of the most important elections in decades as they decide the future direction of the country.,1.0,"we must rebuild our weakened defence force and we must make the nation stronger, not weaker. This forthcoming election is the most important in decades.",1
73,73,63620_201309_73,"Australians will decide which leader and party will put the national interest first; provide strong, stable and accountable government; deliver a strong, prosperous economy and a safe, secure Australia for the uncertain times ahead.",1.0,This forthcoming election is the most important in decades. At this election the Australian people will face one of the most important elections in decades as they decide the future direction of the country.,1
74,74,63620_201309_74,Our plan addresses the main challenges facing Australia.,,"At this election the Australian people will face one of the most important elections in decades as they decide the future direction of the country. Australians will decide which leader and party will put the national interest first; provide strong, stable and accountable government; deliver a strong, prosperous economy and a safe, secure Australia for the uncertain times ahead.",1
75,75,63620_201309_75,"This document, `Our Plan: Real Solutions for all Australians' outlines the clear direction, values and policy priorities that will guide the next Coalition Government.",1.0,"Australians will decide which leader and party will put the national interest first; provide strong, stable and accountable government; deliver a strong, prosperous economy and a safe, secure Australia for the uncertain times ahead. Our plan addresses the main challenges facing Australia.",1
76,76,63620_201309_76,"Our plan honestly confronts Australia's real challenges with real solutions and outlines action to deliver a strong, prosperous economy and a safe, secure future for all of us.",,"Our plan addresses the main challenges facing Australia. This document, `Our Plan: Real Solutions for all Australians' outlines the clear direction, values and policy priorities that will guide the next Coalition Government.",1
77,77,63620_201309_77,Building a stronger economy.,1.0,"This document, `Our Plan: Real Solutions for all Australians' outlines the clear direction, values and policy priorities that will guide the next Coalition Government. Our plan honestly confronts Australia's real challenges with real solutions and outlines action to deliver a strong, prosperous economy and a safe, secure future for all of us.",1
78,78,63620_201309_78,Our main goal is to secure Australia's economic future and to protect Australians from any future external economic shocks to avoid leaving our children worse off.,,"Our plan honestly confronts Australia's real challenges with real solutions and outlines action to deliver a strong, prosperous economy and a safe, secure future for all of us. Building a stronger economy.",1
79,79,63620_201309_79,We have a detailed plan to build a world-class 5-Pillar economy that will deliver more jobs and generate the real wealth necessary to finance better government services for Australian families.,,Building a stronger economy. Our main goal is to secure Australia's economic future and to protect Australians from any future external economic shocks to avoid leaving our children worse off.,1
80,80,63620_201309_80,Charting a longer term course for Australia.,1.0,Our main goal is to secure Australia's economic future and to protect Australians from any future external economic shocks to avoid leaving our children worse off. We have a detailed plan to build a world-class 5-Pillar economy that will deliver more jobs and generate the real wealth necessary to finance better government services for Australian families.,1
81,81,63620_201309_81,The Coalition's ambitious plan charts a longer term course for modernizing and transforming Australia's economy to ensure it is more suited to the challenges of the 21st Centuryñby making Australia more competitive in the global economy:,,We have a detailed plan to build a world-class 5-Pillar economy that will deliver more jobs and generate the real wealth necessary to finance better government services for Australian families. Charting a longer term course for Australia.,1
82,82,63620_201309_82,by lowering taxes;,,Charting a longer term course for Australia. The Coalition's ambitious plan charts a longer term course for modernizing and transforming Australia's economy to ensure it is more suited to the challenges of the 21st Centuryñby making Australia more competitive in the global economy:,3
83,83,63620_201309_83,by boosting productivity growth;,,The Coalition's ambitious plan charts a longer term course for modernizing and transforming Australia's economy to ensure it is more suited to the challenges of the 21st Centuryñby making Australia more competitive in the global economy: by lowering taxes;,1
84,84,63620_201309_84,by getting small businesses growing again and creating more jobs;,,by lowering taxes; by boosting productivity growth;,1
85,85,63620_201309_85,by modernizing our industries and workforce;,,by boosting productivity growth; by getting small businesses growing again and creating more jobs;,1
86,86,63620_201309_86,and developing a more diverse world-class economyñwhich under a Coalition Government will deliver one million new jobs over the next five years and two million new jobs within the next decade.,,by getting small businesses growing again and creating more jobs; by modernizing our industries and workforce;,1
87,87,63620_201309_87,Our aim is to deliver a better future for all Australians.,,by modernizing our industries and workforce; and developing a more diverse world-class economyñwhich under a Coalition Government will deliver one million new jobs over the next five years and two million new jobs within the next decade.,1
88,88,63620_201309_88,"Our aim is to build a stronger Australia ña truly 21st Century Australia ñso that all Australians can get ahead in the global economy, live in a better country and have a better future.",,and developing a more diverse world-class economyñwhich under a Coalition Government will deliver one million new jobs over the next five years and two million new jobs within the next decade. Our aim is to deliver a better future for all Australians.,1
89,89,63620_201309_89,Our aim is to deliver a strong and prosperous economy;,,"Our aim is to deliver a better future for all Australians. Our aim is to build a stronger Australia ña truly 21st Century Australia ñso that all Australians can get ahead in the global economy, live in a better country and have a better future.",1
90,90,63620_201309_90,a safe and secure nation with secure borders and a strong defence force;,,"Our aim is to build a stronger Australia ña truly 21st Century Australia ñso that all Australians can get ahead in the global economy, live in a better country and have a better future. Our aim is to deliver a strong and prosperous economy;",2
91,91,63620_201309_91,a decent and respectful society that gives a `fair go' to all and encourages people to thrive and get ahead;,,Our aim is to deliver a strong and prosperous economy; a safe and secure nation with secure borders and a strong defence force;,1
92,92,63620_201309_92,a country with a network of strong communities with more modern infrastructure;,,a safe and secure nation with secure borders and a strong defence force; a decent and respectful society that gives a `fair go' to all and encourages people to thrive and get ahead;,1
93,93,63620_201309_93,a land with a cleaner environment and a more sustainable future;,,a decent and respectful society that gives a `fair go' to all and encourages people to thrive and get ahead; a country with a network of strong communities with more modern infrastructure;,1
94,94,63620_201309_94,"a country with a culture of Hope, Reward and Opportunity;",,a country with a network of strong communities with more modern infrastructure; a land with a cleaner environment and a more sustainable future;,2
95,95,63620_201309_95,"and a country that is a more prosperous, safe and secure place to live.",,"a land with a cleaner environment and a more sustainable future; a country with a culture of Hope, Reward and Opportunity;",1
96,96,63620_201309_96,Australians deserve to live in the best country in the world.,1.0,"a country with a culture of Hope, Reward and Opportunity; and a country that is a more prosperous, safe and secure place to live.",1
97,97,63620_201309_97,"Last but not least, the Coalition believes there are no limits to what this great country can achieve for its people.",,"and a country that is a more prosperous, safe and secure place to live. Australians deserve to live in the best country in the world.",1
98,98,63620_201309_98,We need to remove the shackles and burdens holding Australia back and to unleash Australia's real potential.,,"Australians deserve to live in the best country in the world. Last but not least, the Coalition believes there are no limits to what this great country can achieve for its people.",1
99,99,63620_201309_99,"It's time to build a truly strong, productive and prosperous 21st Century Australia.",1.0,"Last but not least, the Coalition believes there are no limits to what this great country can achieve for its people. We need to remove the shackles and burdens holding Australia back and to unleash Australia's real potential.",1
100,100,63620_201309_100,"After all, Australians deserve to live in the best country in the world with the best prospects for the future.",1.0,"We need to remove the shackles and burdens holding Australia back and to unleash Australia's real potential. It's time to build a truly strong, productive and prosperous 21st Century Australia.",1
101,101,63620_201309_101,"Australians deserve Hope, Reward and Opportunity.",1.0,"It's time to build a truly strong, productive and prosperous 21st Century Australia. After all, Australians deserve to live in the best country in the world with the best prospects for the future.",1
102,102,63620_201309_102,Australians deserve a better future.,1.0,"After all, Australians deserve to live in the best country in the world with the best prospects for the future. Australians deserve Hope, Reward and Opportunity.",1
103,103,63620_201309_103,Australians deserve better government.,1.0,"Australians deserve Hope, Reward and Opportunity. Australians deserve a better future.",1
104,104,63620_201309_104,A time for a decision about the future.,1.0,Australians deserve a better future. Australians deserve better government.,1
105,105,63620_201309_105,The key challenge facing Australia.,1.0,Australians deserve better government. A time for a decision about the future.,1
106,106,63620_201309_106,To safeguard Australia's economic future the key challenge facing Australia is to compete successfully in a more fiercely competitive world.,,A time for a decision about the future. The key challenge facing Australia.,1
107,107,63620_201309_107,"Undoubtedly, Australia's underlying challenge is to strengthen its economy and make real improvements in productivity, competitiveness and growth to ensure Australia's future prosperity.",,The key challenge facing Australia. To safeguard Australia's economic future the key challenge facing Australia is to compete successfully in a more fiercely competitive world.,1
108,108,63620_201309_108,Many businesses don't need to be told by government that Asia offers opportunities because of a rapidly rising middle class.,,"To safeguard Australia's economic future the key challenge facing Australia is to compete successfully in a more fiercely competitive world. Undoubtedly, Australia's underlying challenge is to strengthen its economy and make real improvements in productivity, competitiveness and growth to ensure Australia's future prosperity.",1
109,109,63620_201309_109,But they do want government to help equip the economy for the competitive challenges ahead so that we can actually realise these opportunities.,,"Undoubtedly, Australia's underlying challenge is to strengthen its economy and make real improvements in productivity, competitiveness and growth to ensure Australia's future prosperity. Many businesses don't need to be told by government that Asia offers opportunities because of a rapidly rising middle class.",1
110,110,63620_201309_110,Asia's growth offers Australia tremendous potential to significantly increase our exports by utilising our competitive advantages as a nation ñ as long as we position ourselves so that we are ready to seize these opportunities and unleash Australia's real economic potential.,,Many businesses don't need to be told by government that Asia offers opportunities because of a rapidly rising middle class. But they do want government to help equip the economy for the competitive challenges ahead so that we can actually realise these opportunities.,1
111,111,63620_201309_111,"For example, estimates suggest that Asian demand could almost double our net energy exports over the next 20 years.",,But they do want government to help equip the economy for the competitive challenges ahead so that we can actually realise these opportunities. Asia's growth offers Australia tremendous potential to significantly increase our exports by utilising our competitive advantages as a nation ñ as long as we position ourselves so that we are ready to seize these opportunities and unleash Australia's real economic potential.,1
112,112,63620_201309_112,And that comes on top of projections that the volume of our minerals exports could increase by 40 per cent to 60 per cent in the period to 2025,,"Asia's growth offers Australia tremendous potential to significantly increase our exports by utilising our competitive advantages as a nation ñ as long as we position ourselves so that we are ready to seize these opportunities and unleash Australia's real economic potential. For example, estimates suggest that Asian demand could almost double our net energy exports over the next 20 years.",5
